ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,"32,632",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,"14,034",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,"17,121",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,"17,220",ราย
