เดือน,ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
ตุลาคม," 1,175 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,1,2566,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
พฤศจิกายน," 1,071 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,2,2566,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
ธันวาคม," 1,059 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,3,2566,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มกราคม," 1,245 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,4,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กุมภาพันธ์," 1,347 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,5,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มีนาคม," 1,133 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,6,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
เมษายน," 1,043 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,7,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
พฤษภาคม," 1,503 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,8,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มิถุนายน," 1,150 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,9,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กรกฎาคม," 1,632 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,10,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
สิงหาคม," 1,602 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,11,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กันยายน," 2,080 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,12,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
ตุลาคม," 2,474 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,13,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
พฤศจิกายน," 1,959 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,14,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
ธันวาคม," 1,757 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,15,2567,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มกราคม," 1,847 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,16,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กุมภาพันธ์," 1,986 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,17,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มีนาคม," 2,357 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,18,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
เมษายน," 1,918 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,19,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
พฤษภาคม," 2,142 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,20,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
มิถุนายน," 1,948 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,21,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กรกฎาคม," 2,281 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,22,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
สิงหาคม," 2,353 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,23,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
กันยายน," 2,203 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,24,2568,ปริมาณขยะติดเชื้อบริษัทและคลินิกเอกชน,กิโลกรัม
