พื้นที่เพาะปลูก (ไร่),_id,ปี,มูลค่าความเสียหาย (บาท),อำเภอ
78.5,1,2564,0,เมืองอุทัยธานี
"4,185.50",2,2564,"25,063,164.00",ทัพทัน
"13,017.80",3,2564,"212,183,244.00",สว่างอารมณ์
"11,570.12",4,2564,"17,892,504.00",หนองฉาง
386.5,5,2564,0,หนองขาหย่าง
"90,274.10",6,2564,0,บ้านไร่
"16,604.60",7,2564,0,ลานสัก
"23,121.86",8,2564,0,ห้วยคต
0,9,2566,0,เมืองอุทัยธานี
700,10,2566,62045145.19,ทัพทัน
5198,11,2566,55784955.23,สว่างอารมณ์
0,12,2566,0,หนองฉาง
0,13,2566,0,หนองขาหย่าง
2040.75,14,2566,20368622.28,บ้านไร่
1087,15,2566,11630900,ลานสัก
69,16,2566,733822.2105,ห้วยคต
