FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
พหลโยธิน,20630100225382,จ3-58(1)-2/38ตก,เมืองตาก,ตาก,ห้างหุ้นส่วนจำกัด ขจรคอนกรีต,5,1,ห้างหุ้นส่วนจำกัด ขจรคอนกรีต,คอนกรีตผสมเสร็จ ,ดำเนินกิจการ,2023-04-18T21:00:05,99.13802,154/18,16.86465,NULL,น้ำรึม
แม่น้ำแม่กลอง,10710000425324,3-3(4)-4/32กจ,ท่าม่วง,กาญจนบุรี,นางสุนันทา วิจิตร์วงษ์,3,2,ท่าทรายไพบูลย์,ดูดทราย (ใบอนุญาตใช้เรือเลขที่ 2370),ดำเนินกิจการ,2023-04-18T21:00:05,99.57827,-,13.98235,-,ท่าล้อ
อู่ทอง,10710200125369,3-58(1)-1/36กจ,เมืองกาญจนบุรี,กาญจนบุรี,บริษัท เขตรุ่งเรืองคอนกรีตอัดแรง จำกัด,9,3,บริษัท เขตรุ่งเรืองคอนกรีตอัดแรง จำกัด,ทำเสา ท่อคอนกรีตและคอนกรีตบล๊อค,ดำเนินกิจการ,2023-04-18T21:00:05,99.56555,111/2,14.03313,NULL,ปากแพรก
NULL,20710000325373,จ3-34(1)-3/37กจ,เมืองกาญจนบุรี,กาญจนบุรี,นางบุญญปัญญุ์ พักตร์เพียงจันทร์,5,4,NULL,แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม ทำวงกบประตู หน้าต่างและเครื่องเรือนจากไม้,ดำเนินกิจการ,2023-04-18T21:00:05,99.36765,16/1,13.95099,NULL,วังเย็น
แสงชูโต,10710000225153,3-14-2/15กจ,เมืองกาญจนบุรี,กาญจนบุรี,บริษัท น้ำแข็งกาญจนบุรี จำกัด,NULL,5,บริษัท น้ำแข็งกาญจนบุรี จำกัด,ทำน้ำแข็งได้วันละ 640 ซอง และผลิตน้ำแข็งก้อนเล็ก ได้วันละ 15.674 ตัน,ดำเนินกิจการ,2023-04-18T21:00:05,99.53564,13,14.01552,โรงน้ำแข็ง,บ้านใต้
NULL,10710100125352,3-9(6)-1/35กจ,เลาขวัญ,กาญจนบุรี,นายพีระศักดิ์ น้าประเสริฐ,11,6,-,ทำมันเส้น,ดำเนินกิจการ,2023-04-18T21:00:05,99.52388,21/1,14.03093,NULL,หนองปลิง
แสงชูโต,710000125314,ส3-60-1/31กจ,เมืองกาญจนบุรี,กาญจนบุรี,บริษัท ปัญญารักษา จำกัด,1,7,บริษัท ปัญญารักษา จำกัด,ถลุงโลหะตะกั่วจากสินแร่ นำผงตะกั่วและแผ่นธาตุแบตเตอรี่ที่ยังไม่ได้ใช้งานและเป็นของเสียจากโรงงานแบตเตอรี่มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เพื่อนำกลับมาใช้ใหม่,ดำเนินกิจการ,2023-04-18T21:00:05,99.38331,199/1-3,14.11181,NULL,วังด้ง
NULL,710100125347,ศ3-14-1/34กจ,เมืองกาญจนบุรี,กาญจนบุรี,นายธีรชัย ชุติมันต์,5,8,เจือพาณิชย์,ทำน้ำแข็งก้อนเล็กได้วันละ 30 ตัน และน้ำดื่ม,ดำเนินกิจการ,2023-04-18T21:00:05,99.53593,93/3,14.03652,NULL,ปากแพรก
ด่านมะขามเตี้ย-หนองตากยา,10710000925307,3-9(6)-9/30กจ,ด่านมะขามเตี้ย,กาญจนบุรี,นายขวัญชัย พูนลาภอุดมศักดิ์,6,9,กาญจนไพศาล,ทำมันเส้น,ดำเนินกิจการ,2023-04-18T21:00:05,99.41319,99,13.8329,NULL,ด่านมะขามเตี้ย
แสงชูโต,10710000125262,3-37-1/26กจ,เมืองกาญจนบุรี,กาญจนบุรี,เรือนจำจังหวัดกาญจนบุรี,3,10,เรือนจำจังหวัดกาญจนบุรี,ทำเครื่องเรือน,ดำเนินกิจการ,2023-04-18T21:00:05,99.5511356212551,452,14.0065550688913,NULL,ปากแพรก
NULL,10710000125379,3-3(1)-1/37กจ,เมืองกาญจนบุรี,กาญจนบุรี,บริษัท เทพศิลากาญจน์ จำกัด,2,11,บริษัท เทพศิลากาญจน์ จำกัด,"โม่ บด ย่อยหิน กำลังการผลิต 36,000 ตัน/ปี",ดำเนินกิจการ,2023-04-18T21:00:05,99.5464,83,13.98731,NULL,ปากแพรก
NULL,10710001325267,3-3(4)-13/26กจ,ด่านมะขามเตี้ย,กาญจนบุรี,นางสาวอำนวย พิเชียรสวัสดิ์,10,12,ท่าทรายกัญญา,ดูดทราย,ดำเนินกิจการ,2023-04-18T21:00:05,99.57484,-,13.98478,NULL,กลอนโด
