เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
พฤศจิกายน,49477,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,1514,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
พฤศจิกายน,11206,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
พฤศจิกายน,3,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
พฤศจิกายน,190,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,145,6,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
พฤศจิกายน,16,7,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
พฤศจิกายน,37,8,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
พฤศจิกายน,161032,9,2566,รย. 12 รถจักรยานยนต์,รถยนต์
พฤศจิกายน,4557,10,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
พฤศจิกายน,49,11,2566,รย. 14 รถบดถนน,รถยนต์
พฤศจิกายน,49,12,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
พฤศจิกายน,69,13,2566,รย. 16 รถพ่วง,รถยนต์
พฤศจิกายน,77,14,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
พฤศจิกายน,75,15,2566,รถโดยสารประจำทาง,รถขนส่ง
พฤศจิกายน,481,16,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,54,17,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
พฤศจิกายน,2967,18,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,3060,19,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
