_id,ปี,ราคาที่เกษตรกรขายได้,รายได้เกษตรกร,ผลผลิต
1,2559,129.7,147.5,113.7
2,2560,125,138.5,110.7
3,2561,122.8,136.2,110
4,2562,134.1,148.6,110.9
5,2563,134.3,152.1,113.3
6,2564,131.5,149.1,113.5
7,2565,156.6,179.2,114.4
8,2566,146.6,169.7,115.8
9,2567,137.8,162.9,118.2
