จำนวน,กลุ่มอายุ,_id,ปี,เพศ,รายการ,จังหวัด,ประเภทแรงงาน,หน่วย
1074.7185,15 - 19,1,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
961.157,15 - 19,2,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1282.8986,15 - 19,3,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1253.3497,15 - 19,4,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
566.9375,15 - 19,5,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
899.019,15 - 19,6,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
563.4615,15 - 19,7,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
909.1324,15 - 19,8,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
213.5163,15 - 19,9,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
660.1193,15 - 19,10,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
218.419,15 - 19,11,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
170.0246,15 - 19,12,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
212,15 - 19,13,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
244.7529,15 - 19,14,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6457.8577,20 - 24,15,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6653.5189,20 - 24,16,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6753.2551,20 - 24,17,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
