จำนวน,_id,กลุ่มสมุนไพร,ปี,ชนิดของสมุนไพร,หน่วย
30,1,กลุ่มที่ 1,2568,ขมิ้นชันสด,บาท/กิโลกรัม
140,2,กลุ่มที่ 1,2568,ขมิ้ิ้นชันแห้ง,บาท/กิโลกรัม
35,3,กลุ่มที่ 2,2568,ไพลสด,บาท/กิโลกรัม
160,4,กลุ่มที่ 2,2568,ไพลแห้ง,บาท/กิโลกรัม
35,5,กลุ่มที่ 3,2568,ข่าสด,บาท/กิโลกรัม
10,6,กลุ่มที่ 3,2568,หัวตะไคร้สด,บาท/กิโลกรัม
100,7,กลุ่มที่ 3,2568,หัวตะไคร้แห้ง,บาท/กิโลกรัม
16,8,กลุ่มที่ 3,2568,ใบตะไคร้แห้ง,บาท/กิโลกรัม
70,9,กลุ่มที่ 3,2568,ใบกระดูกไก่ดำสด,บาท/กิโลกรัม
100,10,กลุ่มที่ 3,2568,ใบกระดููกไก่ดำแห้ง,บาท/กิโลกรัม
300,11,กลุ่มที่ 3,2568,ว่านเสน่ห์จันทร์หอมสด,บาท/กิโลกรัม
80,12,กลุ่มที่ 3,2568,ว่านสาวหลงสด,บาท/กิโลกรัม
90,13,กลุ่มที่ 3,2568,ใบมะขามเปรี้ยวสด,บาท/กิโลกรัม
100,14,กลุ่มที่ 3,2568,ผิวมะกรูดแห้ง,บาท/กิโลกรัม
