เงินลงทุน,ทุนจดทะเบียนรวม,_id,ปี,ทุนจดทะเบียนต่างชาติ,จำนวนโครงการ,ทุนจดทะเบียนไทย
118253.2,10196.9,1,2560,3991,153,6206
225497.5,7732.7,2,2561,6234.5,203,1498.3
79773.9,18670.2,3,2562,17503.8,190,1166.4
88315.4,7023.3,4,2563,4972.4,238,2050.9
68250.2,8954.7,5,2564,8103.7,188,851
79910.8,32062.7,6,2565,17472.4,198,14590.3
141206.2,22045.9,7,2566,18477,405,3569
