VALUE,SOURCE,_id,UNIT,YEAR
5182.48,สำนักงานสถิติแห่งชาติ,1,พันคน,2563
5274.08,สำนักงานสถิติแห่งชาติ,2,พันคน,2564
5794.81,สำนักงานสถิติแห่งชาติ,3,พันคน,2565
5831.95,สำนักงานสถิติแห่งชาติ,4,พันคน,2566
5714.46,สำนักงานสถิติแห่งชาติ,5,พันคน,2567
5711.96,สำนักงานสถิติแห่งชาติ,6,พันคน,2568
