ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
4710,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
880,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,การขุดหรือลอกกรวด ทราย หรือดิน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
350,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,การร่อนหรือคัดกรวดหรือทราย,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
2715,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,การดูดทราย,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
3594,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,การฆ่าสัตว์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
495,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
485,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
113,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การทำอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
26596,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,การสี ฝัด หรือขัดข้าว,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
29604,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,การทำแป้ง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
227364,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
18730,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
5105,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,การทำน้ำดื่ม,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
39,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
88,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,โรงงานถักผ้า ผ้าลูกไม้ หรือเครื่องนุ่งห่มด้วยด้ายหรือเส้นใย หรือฟอกย้อมสี หรือแต่งสำเร็จผ้า,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
7908,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,การผลิตเชือก,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
