จำนวน,_id,ปี,อำเภอ,จังหวัด,หน่วย
5,1,2565,เมืองลำปาง,ลำปาง,แห่ง
,2,2565,เมืองปาน,ลำปาง,แห่ง
2,3,2565,เถิน,ลำปาง,แห่ง
2,4,2565,วังเหนือ,ลำปาง,แห่ง
,5,2565,แม่ทะ,ลำปาง,แห่ง
1,6,2565,แม่เมาะ,ลำปาง,แห่ง
,7,2565,แม่พริก,ลำปาง,แห่ง
1,8,2565,ห้างฉัตร,ลำปาง,แห่ง
,9,2565,เกาะคา,ลำปาง,แห่ง
,10,2565,งาว,ลำปาง,แห่ง
,11,2565,เสริมงาม,ลำปาง,แห่ง
,12,2565,แจ้ห่ม,ลำปาง,แห่ง
,13,2565,สบปราบ,ลำปาง,แห่ง
5,14,2566,เมืองลำปาง,ลำปาง,แห่ง
,15,2566,เมืองปาน,ลำปาง,แห่ง
3,16,2566,เถิน,ลำปาง,แห่ง
2,17,2566,วังเหนือ,ลำปาง,แห่ง
2,18,2566,แม่ทะ,ลำปาง,แห่ง
3,19,2566,แม่เมาะ,ลำปาง,แห่ง
,20,2566,แม่พริก,ลำปาง,แห่ง
,21,2566,ห้างฉัตร,ลำปาง,แห่ง
2,22,2566,เกาะคา,ลำปาง,แห่ง
1,23,2566,งาว,ลำปาง,แห่ง
,24,2566,เสริมงาม,ลำปาง,แห่ง
,25,2566,แจ้ห่ม,ลำปาง,แห่ง
,26,2566,สบปราบ,ลำปาง,แห่ง
3,27,2567,เมืองลำปาง,ลำปาง,แห่ง
,28,2567,เมืองปาน,ลำปาง,แห่ง
,29,2567,เถิน,ลำปาง,แห่ง
1,30,2567,วังเหนือ,ลำปาง,แห่ง
1,31,2567,แม่ทะ,ลำปาง,แห่ง
1,32,2567,แม่เมาะ,ลำปาง,แห่ง
,33,2567,แม่พริก,ลำปาง,แห่ง
,34,2567,ห้างฉัตร,ลำปาง,แห่ง
3,35,2567,เกาะคา,ลำปาง,แห่ง
,36,2567,งาว,ลำปาง,แห่ง
,37,2567,เสริมงาม,ลำปาง,แห่ง
1,38,2567,แจ้ห่ม,ลำปาง,แห่ง
,39,2567,สบปราบ,ลำปาง,แห่ง
6,40,2568,เมืองลำปาง,ลำปาง,แห่ง
,41,2568,เมืองปาน,ลำปาง,แห่ง
,42,2568,เถิน,ลำปาง,แห่ง
,43,2568,วังเหนือ,ลำปาง,แห่ง
1,44,2568,แม่ทะ,ลำปาง,แห่ง
1,45,2568,แม่เมาะ,ลำปาง,แห่ง
,46,2568,แม่พริก,ลำปาง,แห่ง
1,47,2568,ห้างฉัตร,ลำปาง,แห่ง
,48,2568,เกาะคา,ลำปาง,แห่ง
1,49,2568,งาว,ลำปาง,แห่ง
,50,2568,เสริมงาม,ลำปาง,แห่ง
1,51,2568,แจ้ห่ม,ลำปาง,แห่ง
3,52,2568,สบปราบ,ลำปาง,แห่ง
