ที่มา,ชนิดของพืชผัก,_id,ปี,ข้อมูล,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,182,2566, 582.50 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,183,2566," 1,810.52 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,184,2566, 240.18 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,185,2566," 4,535.99 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,186,2566, 451.63 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,187,2566," 2,899.27 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,188,2566, 621.93 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,189,2566, 147.11 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,190,2566, 7.10 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,191,2566, 29.85 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,192,2566," 22,289.19 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,193,2566," 1,661.42 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,194,2566," 1,520.61 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,195,2566," 4,192.65 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),196,2566, 333.09 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,197,2566, 707.36 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,198,2566, 12.56 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,199,2566, 768.31 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,200,2566," 1,736.21 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,201,2566," 1,432.09 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,202,2566, 938.04 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,203,2566," 1,957.85 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,204,2566," 1,486.77 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,205,2566," 2,497.37 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,206,2566, 619.57 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,207,2566, 717.62 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,208,2566, 394.44 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,209,2566, 710.71 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,210,2566," 1,223.15 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,211,2566," 1,923.18 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,212,2566," 2,167.96 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,213,2566," 2,867.50 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),214,2566," 1,578.24 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,215,2566," 1,053.02 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,216,2566, 876.31 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
