ที่มา,ชนิดของพืชผัก,_id,ปี,ข้อมูล,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,30,2564," 17,304.00 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,31,2564, 756.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,32,2564, 566.75 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,33,2564," 1,212.50 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),34,2564, 184.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,35,2564, 635.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,36,2564, 4.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,37,2564, 43.69 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,38,2564, 539.00 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,39,2564," 1,693.30 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,40,2564, 220.89 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,41,2564," 4,171.92 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,42,2564, 412.60 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,43,2564," 2,867.75 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,44,2564, 579.40 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,45,2564, 131.75 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,46,2564, 5.63 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,47,2564, 26.00 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,48,2564," 20,927.80 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,49,2564," 1,479.84 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,50,2564," 1,429.15 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,51,2564," 3,893.00 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),52,2564, 302.91 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,53,2564, 653.10 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,54,2564, 6.00 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,55,2564, 824.39 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,56,2564," 1,784.77 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,57,2564," 1,715.60 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,58,2564," 1,115.63 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,59,2564," 1,882.00 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,60,2564," 1,533.83 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,61,2564," 2,766.10 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,62,2564, 625.36 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,63,2564, 719.95 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,64,2564, 300.00 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,65,2564, 866.67 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,66,2564," 1,209.42 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,67,2564," 1,957.46 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,68,2564," 2,521.66 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,69,2564," 3,210.72 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),70,2564," 1,646.27 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,71,2564," 1,028.50 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,72,2564," 1,500.00 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,73,2565, 60.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,74,2565, 322.70 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,75,2565," 1,256.45 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,76,2565, 250.60 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,77,2565," 2,286.00 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,78,2565, 300.80 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,79,2565," 1,250.00 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,80,2565, 990.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,81,2565, 201.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,82,2565, 19.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,83,2565, 45.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,84,2565," 17,463.00 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,85,2565, 842.00 ,เนื้อที่เพาะปลูก,ไร่
