_id,ปี,การจ้างงานต่างชาติ,การจ้างงานไทย
1,2560,"1,044","28,910"
2,2561,"1,616","26,147"
3,2562,"2,947","36,013"
4,2563,"4,268","28,901"
5,2564,"1,161","20,123"
6,2565,"2,171","37,822"
7,2566,5831,48918
