ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,หน่วย
"110,978",สำนักงานขนส่งจังหวัดปทุมธานี,1,2556,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"115,426",สำนักงานขนส่งจังหวัดปทุมธานี,2,2557,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"121,753",สำนักงานขนส่งจังหวัดปทุมธานี,3,2558,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"126,663",สำนักงานขนส่งจังหวัดปทุมธานี,4,2559,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"131,775",สำนักงานขนส่งจังหวัดปทุมธานี,5,2560,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"139,219",สำนักงานขนส่งจังหวัดปทุมธานี,6,2561,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"146,360",สำนักงานขนส่งจังหวัดปทุมธานี,7,2562,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"151,418",สำนักงานขนส่งจังหวัดปทุมธานี,8,2563,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"153,949",สำนักงานขนส่งจังหวัดปทุมธานี,9,2564,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"156,045",สำนักงานขนส่งจังหวัดปทุมธานี,10,2565,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"158,021",สำนักงานขนส่งจังหวัดปทุมธานี,11,2566,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
