วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-10-01T00:00:00,58,GI(E) 3-292,บริษัท ฮอลลี่ กรุ๊ป อิเลคทริค (ประเทศไทย) จำกัด,58,2566-11-01T00:00:00,ชลบุรี
2569-10-01T00:00:00,59,GI(E) 3-293,บริษัท ฮอลลี่ อิเลคทรอนิค มิเตอร์ จำกัด,59,2566-11-01T00:00:00,ชลบุรี
2569-11-01T00:00:00,60,GI(E) 3-300,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),60,2566-12-01T00:00:00,ชลบุรี
2569-11-01T00:00:00,61,GI(E) 3-302,บริษัท นิปปอนเพนต์ (ประเทศไทย) จำกัด,61,2566-12-01T00:00:00,ชลบุรี
2569-11-01T00:00:00,62,GI(E) 3-303,บริษัท โอเรียนเต็ลคอปเปอร์ จำกัด,62,2566-12-01T00:00:00,ชลบุรี
2569-12-01T00:00:00,63,GI(E) 3-311,บริษัท ไทยลู้บเบล็นดิ้ง จำกัด,63,2566-01-13T00:00:00,ชลบุรี
2569-01-15T00:00:00,64,GI(E) 3-314,บริษัท ซุปเปอร์ฟาสท์ เทคโนโลยี (ประเทศไทย) จำกัด,64,2566-01-16T00:00:00,ชลบุรี
2569-01-18T00:00:00,65,GI(E) 3-324,บริษัท ซันโทรี่ เบเวอเรจ แอนด์ ฟู้ด (ประเทศไทย) จำกัด,65,2566-01-19T00:00:00,ชลบุรี
2569-01-18T00:00:00,66,GI(E) 3-328,บริษัท ซันโทรี่ เบเวอเรจ แอนด์ ฟู้ด (ประเทศไทย) จำกัด,66,2566-01-19T00:00:00,ชลบุรี
2569-01-22T00:00:00,67,GI(E) 3-336,บริษัท วาลีโอ คอมฟอร์ท แอนด์ ไดร์ฟวิ่ง แอสซิสแทนซ์ ซิสเต็มส์ (ประเทศไทย) จำกัด,67,2566-01-23T00:00:00,ชลบุรี
2569-01-22T00:00:00,68,GI(E) 3-337,บริษัท ยามาฮ่ามอเตอร์พาร์ทแมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,68,2566-01-23T00:00:00,ชลบุรี
2569-01-22T00:00:00,69,GI(E) 3-339,บริษัท จินหัว ซิงค์ เทคโนโลยี (ไทยแลนด์) จำกัด,69,2566-01-23T00:00:00,ชลบุรี
2569-01-22T00:00:00,70,GI(E) 3-342,บริษัท เฟดเดอรัล-โมกูล เสรีนา จำกัด,70,2566-01-23T00:00:00,ชลบุรี
2569-01-25T00:00:00,71,GI(E) 3-344,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),71,2566-01-26T00:00:00,ชลบุรี
2569-01-25T00:00:00,72,GI(E) 3-346,บริษัท เพนสโตน (ประเทศไทย) จำกัด,72,2566-01-26T00:00:00,ชลบุรี
2569-01-25T00:00:00,73,GI(E) 3-349,บริษัท เบ็นเทคเคมีคัล จำกัด,73,2566-01-26T00:00:00,ชลบุรี
2569-01-26T00:00:00,74,GI(E) 3-353,บริษัท พีคิว เคมิคอลส์ (ประเทศไทย)จำกัด,74,2566-01-27T00:00:00,ชลบุรี
2569-01-02T00:00:00,75,GI(E) 3-367,บริษัท ลิเดีย ออยล์ (ประเทศไทย) จำกัด,75,2566-02-02T00:00:00,ชลบุรี
2569-02-02T00:00:00,76,GI(E) 3-373,บริษัท มิค อินดัสตรี้ส์ (ประเทศไทย) จำกัด,76,2566-03-02T00:00:00,ชลบุรี
2569-02-02T00:00:00,77,GI(E) 3-374,บริษัท นิตโต้ มาเทค (ประเทศไทย) จำกัด,77,2566-03-02T00:00:00,ชลบุรี
2569-06-02T00:00:00,78,GI(E) 3-384,บริษัท เอส.เอ็ม.ซี. (ประเทศไทย) จำกัด,78,2566-07-02T00:00:00,ชลบุรี
2569-09-02T00:00:00,79,GI(E) 3-392,บริษัท เค.เอ็ม.ดับบลิว.ทรานสปอร์ต จำกัด,79,2566-10-02T00:00:00,ชลบุรี
2569-12-02T00:00:00,80,GI(E) 3-394,บริษัท ศรีบริสุทธิ์ ฟอร์จจิ้ง เทคโนโลยี จำกัด,80,2566-02-13T00:00:00,ชลบุรี
2569-12-02T00:00:00,81,GI(E) 3-399,บริษัท ออโต้ อินทรีเรียส์ โปรดักส์ จำกัด,81,2566-02-13T00:00:00,ชลบุรี
2569-02-13T00:00:00,82,GI(E) 3-415,บริษัท ทีซีเอฟจี คอมเพรสเซอร์ (ประเทศไทย) จำกัด,82,2566-02-14T00:00:00,ชลบุรี
2569-02-14T00:00:00,83,GI(E) 3-422,บริษัท อมตะ บี.กริม เพาเวอร์ 1 จำกัด,83,2566-02-15T00:00:00,ชลบุรี
2569-02-14T00:00:00,84,GI(E) 3-423,บริษัท อมตะ บี.กริม เพาเวอร์ 2 จำกัด,84,2566-02-15T00:00:00,ชลบุรี
2569-02-14T00:00:00,85,GI(E) 3-425,บริษัท ออโต้ เม็ททอล จำกัด,85,2566-02-15T00:00:00,ชลบุรี
2569-02-14T00:00:00,86,GI(E) 3-427,บริษัท ไท ไทย รับเบอร์ จำกัด,86,2566-02-15T00:00:00,ชลบุรี
2569-02-19T00:00:00,87,GI(E) 3-435,บริษัท คอยเทค สตีล (ไทยแลนด์) จำกัด,87,2566-02-20T00:00:00,ชลบุรี
2569-02-19T00:00:00,88,GI(E) 3-437,บริษัท เอ็น15 เทคโนโลยี จำกัด,88,2566-02-20T00:00:00,ชลบุรี
2569-02-20T00:00:00,89,GI(E) 3-438,บริษัท คาเนมิทซึ สลิท (ประเทศไทย) จำกัด,89,2566-02-21T00:00:00,ชลบุรี
2569-02-20T00:00:00,90,GI(E) 3-441,บริษัท นิชิได (ประเทศไทย) จำกัด,90,2566-02-21T00:00:00,ชลบุรี
2569-02-20T00:00:00,91,GI(E) 3-446,บริษัท ไมเท็กซ์ โพลีเมอร์ (ประเทศไทย) จำกัด,91,2566-02-21T00:00:00,ชลบุรี
2569-02-22T00:00:00,92,GI(E) 3-465,บริษัท ฟูจิตสึ เจเนอรัล (ประเทศไทย) จำกัด,92,2566-02-23T00:00:00,ชลบุรี
2569-02-22T00:00:00,93,GI(E) 3-466,บริษัท ฟูจิตสึ เจเนอรัล (ประเทศไทย) จำกัด,93,2566-02-23T00:00:00,ชลบุรี
2569-06-03T00:00:00,94,GI(E) 3-490,บริษัท โบรเซ่ (ประเทศไทย) จำกัด,94,2566-07-03T00:00:00,ชลบุรี
2569-06-03T00:00:00,95,GI(E) 3-493,บริษัท ไทย นิวตั้น จำกัด,95,2566-07-03T00:00:00,ชลบุรี
2569-06-03T00:00:00,96,GI(E) 3-495,บริษัท ไทย ซิลเวค จำกัด,96,2566-07-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,97,GI(E) 3-500,บริษัท โออิซูรู (ประเทศไทย) จำกัด,97,2566-10-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,98,GI(E) 3-513,บริษัท สยาม ดี.เค.เอ็นจิเนียริ่ง จำกัด,98,2566-10-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,99,GI(E) 3-517,บริษัท อี แอนด์ เอช พรีซิชั่น (ประเทศไทย) จำกัด,99,2566-10-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,100,GI(E) 3-518,บริษัท อี แอนด์ เอช พรีซิชั่น (ประเทศไทย) จำกัด,100,2566-10-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,101,GI(E) 3-519,บริษัท อี แอนด์ เอซ พรีซิชั่น (ประเทศไทย) จำกัด,101,2566-10-03T00:00:00,ชลบุรี
2569-09-03T00:00:00,102,GI(E) 3-520,บริษัท ยูนิค ซี โปรดักส์ จำกัด,102,2566-10-03T00:00:00,ชลบุรี
2569-12-03T00:00:00,103,GI(E) 3-532,บริษัท ชินเมอิ อินดัสทรี (ประเทศไทย) จำกัด,103,2566-03-13T00:00:00,ชลบุรี
2569-03-14T00:00:00,104,GI(E) 3-537,บริษัท อมตะ บี. กริม เพาเวอร์ 4 จำกัด,104,2566-03-15T00:00:00,ชลบุรี
2569-03-15T00:00:00,105,GI(E) 3-539,บริษัท บีทีดี ออโต้พาร์ท (ประเทศไทย) จำกัด,105,2566-03-16T00:00:00,ชลบุรี
2569-03-19T00:00:00,106,GI(E) 3-549,บริษัท เอ็นเอสแอล ฟู้ดส์ จำกัด (มหาชน),106,2566-03-20T00:00:00,ชลบุรี
2569-03-20T00:00:00,107,GI(E) 3-555,บริษัท เซเลอเรส (ประเทศไทย) จำกัด,107,2566-03-21T00:00:00,ชลบุรี
2569-03-22T00:00:00,108,GI(E) 3-564,บริษัท มิโน่ (ไทยแลนด์) จำกัด,108,2566-03-23T00:00:00,ชลบุรี
2569-03-22T00:00:00,109,GI(E) 3-567,บริษัท คิทซ์ (ประเทศไทย) จำกัด,109,2566-03-23T00:00:00,ชลบุรี
2569-03-22T00:00:00,110,GI(E) 3-569,บริษัท ธาดาเมทัล พาร์ส จำกัด,110,2566-03-23T00:00:00,ชลบุรี
2569-03-23T00:00:00,111,GI(E) 3-574,บริษัท ด๊อกเตอร์ บู จำกัด,111,2566-03-24T00:00:00,ชลบุรี
2569-03-26T00:00:00,112,GI(E) 3-579,บริษัท เอ็มเอเอ็กซ์ (ประเทศไทย) จำกัด,112,2566-03-27T00:00:00,ชลบุรี
2569-03-26T00:00:00,113,GI(E) 3-580,บริษัท ศรีราชา แพคกิ้งวู้ด จำกัด,113,2566-03-27T00:00:00,ชลบุรี
2569-03-26T00:00:00,114,GI(E) 3-581,บริษัท ศรีราชา แพคกิ้ง วู้ด จำกัด (สาขาที่ 3),114,2566-03-27T00:00:00,ชลบุรี
2569-03-26T00:00:00,115,GI(E) 3-582,บริษัท ศรีราชา แพคกิ้งวู้ด จำกัด (สาขาที่ 6),115,2566-03-27T00:00:00,ชลบุรี
2569-03-30T00:00:00,116,GI(E) 3-599,บริษัท ชลบุรี คลีน เอ็นเนอร์ยี่ จำกัด,116,2566-03-31T00:00:00,ชลบุรี
2569-02-04T00:00:00,117,GI(E) 3-608,บริษัท ซิมสุลาลัย จำกัด,117,2566-03-04T00:00:00,ชลบุรี
2569-03-04T00:00:00,118,GI(E) 3-620,บริษัท มิโน่ (ไทยแลนด์) จำกัด,118,2566-04-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,119,GI(E) 3-622,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),119,2566-05-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,120,GI(E) 3-623,บริษัท ไทยอีสเทิร์น รับเบอร์ จำกัด,120,2566-05-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,121,GI(E) 3-624,บริษัท รชต พลาสติก อินเจ็คชั่น จำกัด,121,2566-05-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,122,GI(E) 3-628,บริษัท แวนด้าแพค จำกัด,122,2566-05-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,123,GI(E) 3-629,บริษัท คาคิฮารา เมอิบัน (ประเทศไทย) จำกัด,123,2566-05-04T00:00:00,ชลบุรี
2569-04-04T00:00:00,124,GI(E) 3-633,บริษัท เอ็นอีไอเอส (ประเทศไทย) จำกัด,124,2566-05-04T00:00:00,ชลบุรี
2569-09-04T00:00:00,125,GI(E) 3-639,บริษัท โอ.เอ็ม.แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,125,2566-10-04T00:00:00,ชลบุรี
2569-09-04T00:00:00,126,GI(E) 3-644,บริษัท ชินเซอิ โมลดิ้ง จำกัด,126,2566-10-04T00:00:00,ชลบุรี
2569-04-19T00:00:00,127,GI(E) 3-656,บริษัท คอมพลีท โอโต รับเบอร์ แมนูแฟ็คเจอริ่ง จำกัด,127,2566-04-20T00:00:00,ชลบุรี
2569-04-19T00:00:00,128,GI(E) 3-657,บริษัท จาโตโค (ประเทศไทย) จำกัด,128,2566-04-20T00:00:00,ชลบุรี
2569-04-19T00:00:00,129,GI(E) 3-658,บริษัท วาซิน เทค จำกัด,129,2566-04-20T00:00:00,ชลบุรี
2569-04-19T00:00:00,130,GI(E) 3-660,บริษัท ชิน ยอง ไทยเอ็นจิเนียริ่ง จำกัด,130,2566-04-20T00:00:00,ชลบุรี
2569-04-24T00:00:00,131,GI(E) 3-669,บริษัท ไทย เซกิซุย โฟม จำกัด,131,2566-04-25T00:00:00,ชลบุรี
2569-04-24T00:00:00,132,GI(E) 3-670,บริษัท ไดเซ็น เพลตติ้ง (ไทยแลนด์) จำกัด,132,2566-04-25T00:00:00,ชลบุรี
2569-04-25T00:00:00,133,GI(E) 3-672,บริษัท คาร์โบกาญจน์ จำกัด,133,2566-04-26T00:00:00,ชลบุรี
2569-04-25T00:00:00,134,GI(E) 3-673,บริษัท ซีเค รีเจน ซิสเต็มส์ จำกัด,134,2566-04-26T00:00:00,ชลบุรี
2569-04-26T00:00:00,135,GI(E) 3-677,บริษัท ซูมิโตโม อิเล็กตริก ซินเตอร์ด คอมโพเน้นท์ส (ที) จำกัด,135,2566-04-27T00:00:00,ชลบุรี
