จำนวน,_id,ปี,เพศ,หน่วย
9699,1,2564,ชาย,คน
18357,2,2564,หญิง,คน
11061,3,2565,ชาย,คน
22968,4,2565,หญิง,คน
8143,5,2566,ชาย,คน
20499,6,2566,หญิง,คน
