จำนวน,ชั่วโมงการทำงาน,_id,ปี,ไตรมาส,หน่วยวัด
"15,362",0 ชั่วโมง,1,2563,1,คน
102,1-9 ชั่วโมง,2,2563,1,คน
"4,744",10-19 ชั่วโมง,3,2563,1,คน
"17,129",20-29 ชั่วโมง,4,2563,1,คน
"14,985",30-34 ชั่วโมง,5,2563,1,คน
"23,744",35-39 ชั่วโมง,6,2563,1,คน
"77,313",40-49 ชั่วโมง,7,2563,1,คน
"51,731",50 ชั่วโมงขึ้นไป,8,2563,1,คน
"22,510",0 ชั่วโมง,9,2563,2,คน
"1,117",1-9 ชั่วโมง,10,2563,2,คน
"6,723",10-19 ชั่วโมง,11,2563,2,คน
"13,572",20-29 ชั่วโมง,12,2563,2,คน
"13,501",30-34 ชั่วโมง,13,2563,2,คน
"25,885",35-39 ชั่วโมง,14,2563,2,คน
"77,623",40-49 ชั่วโมง,15,2563,2,คน
"40,732",50 ชั่วโมงขึ้นไป,16,2563,2,คน
"1,103",0 ชั่วโมง,17,2563,3,คน
0,1-9 ชั่วโมง,18,2563,3,คน
"2,194",10-19 ชั่วโมง,19,2563,3,คน
"8,776",20-29 ชั่วโมง,20,2563,3,คน
"8,596",30-34 ชั่วโมง,21,2563,3,คน
"25,808",35-39 ชั่วโมง,22,2563,3,คน
"102,919",40-49 ชั่วโมง,23,2563,3,คน
"63,652",50 ชั่วโมงขึ้นไป,24,2563,3,คน
"3,937",0 ชั่วโมง,25,2563,4,คน
0,1-9 ชั่วโมง,26,2563,4,คน
915,10-19 ชั่วโมง,27,2563,4,คน
"5,015",20-29 ชั่วโมง,28,2563,4,คน
"9,618",30-34 ชั่วโมง,29,2563,4,คน
"25,290",35-39 ชั่วโมง,30,2563,4,คน
"81,557",40-49 ชั่วโมง,31,2563,4,คน
"80,243",50 ชั่วโมงขึ้นไป,32,2563,4,คน
"6,999",0 ชั่วโมง,33,2564,1,คน
0,1-9 ชั่วโมง,34,2564,1,คน
"1,904",10-19 ชั่วโมง,35,2564,1,คน
"10,615",20-29 ชั่วโมง,36,2564,1,คน
"18,058",30-34 ชั่วโมง,37,2564,1,คน
"16,472",35-39 ชั่วโมง,38,2564,1,คน
"88,293",40-49 ชั่วโมง,39,2564,1,คน
"53,757",50 ชั่วโมงขึ้นไป,40,2564,1,คน
"5,593",0 ชั่วโมง,41,2564,2,คน
0,1-9 ชั่วโมง,42,2564,2,คน
"2,477",10-19 ชั่วโมง,43,2564,2,คน
"10,062",20-29 ชั่วโมง,44,2564,2,คน
"10,484",30-34 ชั่วโมง,45,2564,2,คน
"30,130",35-39 ชั่วโมง,46,2564,2,คน
"88,182",40-49 ชั่วโมง,47,2564,2,คน
"64,612",50 ชั่วโมงขึ้นไป,48,2564,2,คน
"1,517",0 ชั่วโมง,49,2564,3,คน
0,1-9 ชั่วโมง,50,2564,3,คน
595,10-19 ชั่วโมง,51,2564,3,คน
"7,857",20-29 ชั่วโมง,52,2564,3,คน
"27,905",30-34 ชั่วโมง,53,2564,3,คน
"27,677",35-39 ชั่วโมง,54,2564,3,คน
"92,818",40-49 ชั่วโมง,55,2564,3,คน
"57,372",50 ชั่วโมงขึ้นไป,56,2564,3,คน
"4,027",0 ชั่วโมง,57,2564,4,คน
0,1-9 ชั่วโมง,58,2564,4,คน
356,10-19 ชั่วโมง,59,2564,4,คน
"9,554",20-29 ชั่วโมง,60,2564,4,คน
"27,714",30-34 ชั่วโมง,61,2564,4,คน
"22,090",35-39 ชั่วโมง,62,2564,4,คน
"85,540",40-49 ชั่วโมง,63,2564,4,คน
"56,680",50 ชั่วโมงขึ้นไป,64,2564,4,คน
"3,218",0 ชั่วโมง,65,2565,1,คน
0,1-9 ชั่วโมง,66,2565,1,คน
"1,844",10-19 ชั่วโมง,67,2565,1,คน
"12,052",20-29 ชั่วโมง,68,2565,1,คน
"21,152",30-34 ชั่วโมง,69,2565,1,คน
"22,521",35-39 ชั่วโมง,70,2565,1,คน
"74,994",40-49 ชั่วโมง,71,2565,1,คน
"41,435",50 ชั่วโมงขึ้นไป,72,2565,1,คน
"4,127",0 ชั่วโมง,73,2565,2,คน
0,1-9 ชั่วโมง,74,2565,2,คน
989,10-19 ชั่วโมง,75,2565,2,คน
"7,690",20-29 ชั่วโมง,76,2565,2,คน
"15,092",30-34 ชั่วโมง,77,2565,2,คน
"20,311",35-39 ชั่วโมง,78,2565,2,คน
"78,179",40-49 ชั่วโมง,79,2565,2,คน
"47,768",50 ชั่วโมงขึ้นไป,80,2565,2,คน
814,0 ชั่วโมง,81,2565,3,คน
0,1-9 ชั่วโมง,82,2565,3,คน
"1,465",10-19 ชั่วโมง,83,2565,3,คน
"3,514",20-29 ชั่วโมง,84,2565,3,คน
"10,887",30-34 ชั่วโมง,85,2565,3,คน
"19,837",35-39 ชั่วโมง,86,2565,3,คน
"87,115",40-49 ชั่วโมง,87,2565,3,คน
"62,983",50 ชั่วโมงขึ้นไป,88,2565,3,คน
"3,665",0 ชั่วโมง,89,2565,4,คน
0,1-9 ชั่วโมง,90,2565,4,คน
655,10-19 ชั่วโมง,91,2565,4,คน
"9,749",20-29 ชั่วโมง,92,2565,4,คน
"15,558",30-34 ชั่วโมง,93,2565,4,คน
"18,546",35-39 ชั่วโมง,94,2565,4,คน
"80,192",40-49 ชั่วโมง,95,2565,4,คน
"42,281",50 ชั่วโมงขึ้นไป,96,2565,4,คน
"5,707",0 ชั่วโมง,97,2566,1,คน
0,1-9 ชั่วโมง,98,2566,1,คน
269,10-19 ชั่วโมง,99,2566,1,คน
"13,615",20-29 ชั่วโมง,100,2566,1,คน
"12,973",30-34 ชั่วโมง,101,2566,1,คน
"18,677",35-39 ชั่วโมง,102,2566,1,คน
"74,272",40-49 ชั่วโมง,103,2566,1,คน
"52,537",50 ชั่วโมงขึ้นไป,104,2566,1,คน
"3,089",0 ชั่วโมง,105,2566,2,คน
0,1-9 ชั่วโมง,106,2566,2,คน
"1,053",10-19 ชั่วโมง,107,2566,2,คน
"9,700",20-29 ชั่วโมง,108,2566,2,คน
