_id,ปี,พันธุ์ข้าว,จำนวน,มาตรฐาน,หน่วย,ประเภท,ผู้รับซื้อ,ผลผลิต
1,2564,ขาวดอกมะลิ 105," 10,687 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
2,2564,ขาวดอกมะลิ 105," 13,000 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
3,2564,กข6," 9,335 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
4,2564,กข6," 13,000 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
5,2565,ขาวดอกมะลิ 105," 13,500 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
6,2565,ขาวดอกมะลิ 105," 14,700 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
7,2565,กข6," 10,020 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
8,2565,กข6," 11,200 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
9,2566,ขาวดอกมะลิ 105," 14,500 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
10,2566,ขาวดอกมะลิ 105," 15,700 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
11,2566,กข6," 13,169 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
12,2566,กข6," 14,300 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
13,2567,ขาวดอกมะลิ 105," 15,500 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
14,2567,ขาวดอกมะลิ 105," 16,700 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
15,2567,กข6," 13,755 ",อินทรีย์/GAP,บาท/ตัน,ราคาตลาด ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
16,2567,กข6," 15,000 ",อินทรีย์/GAP,บาท/ตัน,ราคาประกัน ,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก
