Field Size,Field Name,_id,Description,Data Type,Example
14,FID,1,เลขทะเบียนโรงงาน (ใหม่),NVARCHAR,10100202725384
30,DISPFACREG,2,เลขทะบียนโรงงาน (เดิม),NVARCHAR,3-64(13)-27/38
150,FNAME,3,ชื่อโรงงาน,NVARCHAR,บริษัท ช่างสยาม แมชชีนเนอรี่ จำกัด
200,ONAME,4,ชื่อผู้ประกอบการ,NVARCHAR,บริษัท ช่างสยาม แมชชีนเนอรี่ จำกัด
200,FADDR,5,เลขที่,NVARCHAR,5
10,FMOO,6,หมู่,NVARCHAR,5
40,FSOI,7,ซอย,NVARCHAR,อ่อนนุช 39
100,FROAD,8,ถนน,NVARCHAR,เลียบคลองภาษีเจริญฝั่งเหนือ
200,FTUMNAME,9,ตำบล,NVARCHAR,หนองแขม
200,FAMPNAME,10,อำเภอ,NVARCHAR,หนองแขม
200,FPROVNAME,11,จังหวัด,NVARCHAR,กรุงเทพมหานคร
MAX,OBJECT,12,ประกอบกิจการ,NVARCHAR,กลึงโลหะทุกชนิด เช่น ชิ้นส่วนเครื่องจักรโรงงานอุตสาหกรรม
50,STATUS,13,ชื่อสถานะ,NVARCHAR,ดำเนินกิจการ/เลิกประกอบกิจการ/หยุดชั่วคราว
,LAT,14,ละติจูด (โรงงาน),FLOAT,13.8225833333333
,LNG,15,ลองติจูด  (โรงงาน),FLOAT,100.611216666667
,LAST_UPDATE,16,อัพเดทล่าสุด,DATETIME,18/4/2023  21:00:05
