_id,หน่วยผลผลิตเฉลี่ย,ปี,ผลผลิตรวม,หน่วยผลผลิต,มูลค่า,ราคาเฉลี่ย,หน่วยมูลค่า,หน่วยราคาเฉลี่ย,จังหวัด,ชนิดพืช,ผลผลิตเฉลี่ย
1,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,749,809 ",กิโลกรัม," 11,951,195.47 ", 6.83 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปรัง 63/64, 687.00 
2,กิโลกรัม/ไร่/ปี/รอบ,2565," 2,709,985 ",กิโลกรัม," 1,926,799,335.00 ", 711.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปี 64/65, 703.00 
3,กิโลกรัม/ไร่/ปี/รอบ,2565," 204,608,304 ",กิโลกรัม," 1,823,059,988.64 ", 8.91 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวน้ำหอม," 4,639.00 "
4,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,599,830 ",กิโลกรัม," 16,158,283.00 ", 10.10 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวแก่," 1,083.00 "
5,กิโลกรัม/ไร่/ปี/รอบ,2565," 14,025,600 ",กิโลกรัม," 326,235,456.00 ", 23.26 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะม่วง," 2,041.00 "
6,กิโลกรัม/ไร่/ปี/รอบ,2565," 20,596,250 ",กิโลกรัม," 611,296,700.00 ", 29.68 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะนาว," 3,109.00 "
7,กิโลกรัม/ไร่/ปี/รอบ,2565," 40,131,976 ",กิโลกรัม," 1,147,373,193.84 ", 28.59 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ฝรั่ง," 5,394.00 "
8,กิโลกรัม/ไร่/ปี/รอบ,2565," 622,711 ",กิโลกรัม," 31,135,550.00 ", 50.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ลำไย," 1,395.00 "
9,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,581,430 ",กิโลกรัม," 74,026,738.30 ", 46.81 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ชมพู่," 2,078.00 "
10,กิโลกรัม/ไร่/ปี/รอบ,2565," 3,589,533 ",กิโลกรัม," 35,895,330.00 ", 10.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยน้ำว้า," 2,322.00 "
11,กิโลกรัม/ไร่/ปี/รอบ,2565," 423,000 ",กิโลกรัม," 29,610,000.00 ", 70.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะขามเทศ, 610.00 
12,กิโลกรัม/ไร่/ปี/รอบ,2565," 991,000 ",กิโลกรัม," 24,438,060.00 ", 24.66 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,แก้วมังกร," 1,909.00 "
13,กิโลกรัม/ไร่/ปี/รอบ,2565," 469,650 ",กิโลกรัม," 14,089,500.00 ", 30.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พุทรา," 2,302.00 "
14,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,338,600 ",กิโลกรัม," 80,316,000.00 ", 60.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,องุ่น," 2,300.00 "
15,กิโลกรัม/ไร่/ปี/รอบ,2565," 8,918,000 ",กิโลกรัม," 502,886,020.00 ", 56.39 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยไม้ ," 2,600.00 "
16,กิโลกรัม/ไร่/ปี/รอบ,2565," 11,710,400 ",กิโลกรัม," 186,546,672.00 ", 15.93 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พืชผัก ," 6,357.00 "
17,กิโลกรัม/ไร่/ปี/รอบ,2565," 187,100 ",กิโลกรัม," 11,226,000.00 ", 60.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,สมุนไพร," 3,478.00 "
18,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,419,000 ",กิโลกรัม," 104,360,000.00 ", 50-80 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ดอกอื่นๆ," 1,508.00 "
19,กิโลกรัม/ไร่/ปี/รอบ,2565," 1,191,000 ",กิโลกรัม," 358,310,000.00 ", 30-100 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ประดับ," 16,404.00 "
20,กิโลกรัม/ไร่/ปี/รอบ,2565," 213,760,000 ",กิโลกรัม," 537,216,000.00 ", 2.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,นาเกลือ," 16,000.00 "
21,กิโลกรัม/ไร่/ปี/รอบ,2566," 1,623,095 ",กิโลกรัม," 17,854,045.00 ", 11.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปรัง 64/65, 686.00 
22,กิโลกรัม/ไร่/ปี/รอบ,2566," 2,545,049 ",กิโลกรัม," 29,522,568.40 ", 11.60 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปี 65/66, 713.00 
