VALUE,QUARTER,AREA,SOURCE,_id,REG,UNIT,YEAR,EDUCATIONAL
485.8,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,49,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาการ
190.1,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,50,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาชีพ
141.2,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,51,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาการศึกษา
0.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,52,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อื่น ๆ
1.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,53,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, ไม่ทราบ
139.2,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,54,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, ไม่มีการศึกษา
2860.4,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,55,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, ต่ำกว่าประถมศึกษา
2712.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,56,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, ประถมศึกษา
2066.2,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,57,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, มัธยมศึกษาตอนต้น
1542.0,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,58,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, มัธยมศึกษาตอนปลาย สายสามัญ
205.0,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,59,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.0,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,60,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
483.0,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,61,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาการ
335.5,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,62,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาชีพ
193.3,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,63,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อุดมศึกษา สายวิชาการศึกษา
0.0,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,64,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, อื่น ๆ
0.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,65,ภาคตะวันออกเฉียงเหนือ,พันคน,2566, ไม่ทราบ
66.2,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,66,ภาคใต้,พันคน,2566, ไม่มีการศึกษา
336.3,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,67,ภาคใต้,พันคน,2566, ต่ำกว่าประถมศึกษา
495.7,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,68,ภาคใต้,พันคน,2566, ประถมศึกษา
461.0,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,69,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนต้น
413.8,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,70,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายสามัญ
115.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,71,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.2,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,72,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
485.7,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,73,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาการ
175.7,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,74,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาชีพ
92.0,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,75,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาการศึกษา
1.8,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,76,ภาคใต้,พันคน,2566, อื่น ๆ
23.2,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,77,ภาคใต้,พันคน,2566, ไม่ทราบ
193.5,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,78,ภาคใต้,พันคน,2566, ไม่มีการศึกษา
812.5,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,79,ภาคใต้,พันคน,2566, ต่ำกว่าประถมศึกษา
1361.7,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,80,ภาคใต้,พันคน,2566, ประถมศึกษา
975.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,81,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนต้น
771.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,82,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายสามัญ
144.9,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,83,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.8,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,84,ภาคใต้,พันคน,2566, มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
542.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,85,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาการ
198.3,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,86,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาชีพ
122.9,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,87,ภาคใต้,พันคน,2566, อุดมศึกษา สายวิชาการศึกษา
9.4,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,88,ภาคใต้,พันคน,2566, อื่น ๆ
15.6,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,89,ภาคใต้,พันคน,2566, ไม่ทราบ
1.43,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,90,กรุงเทพมหานคร,พันคน,2567,การศึกษาอื่นๆ
578.4,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,91,กรุงเทพมหานคร,พันคน,2567,ต่ำกว่าประถมศึกษา
1318.66,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,92,กรุงเทพมหานคร,พันคน,2567,ประถมศึกษา
1311.26,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,93,กรุงเทพมหานคร,พันคน,2567,มัธยมศึกษาตอนต้น
5.77,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,94,กรุงเทพมหานคร,พันคน,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
1194.52,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,95,กรุงเทพมหานคร,พันคน,2567,มัธยมศึกษาตอนปลาย สายสามัญ
446.93,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,96,กรุงเทพมหานคร,พันคน,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
2170.18,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,97,กรุงเทพมหานคร,พันคน,2567,อุดมศึกษา สายวิชาการ
178.13,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,98,กรุงเทพมหานคร,พันคน,2567,อุดมศึกษา สายวิชาการศึกษา
382.72,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,99,กรุงเทพมหานคร,พันคน,2567,อุดมศึกษา สายวิชาชีพ
107.44,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,100,กรุงเทพมหานคร,พันคน,2567,ไม่ทราบ
190.04,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,101,กรุงเทพมหานคร,พันคน,2567,ไม่มีการศึกษา
146.37,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,102,ภาคกลาง,พันคน,2567,การศึกษาอื่นๆ
1639.66,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,103,ภาคกลาง,พันคน,2567,ต่ำกว่าประถมศึกษา
1977.85,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,104,ภาคกลาง,พันคน,2567,ประถมศึกษา
2024.48,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,105,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนต้น
2.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,106,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
1528.55,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,107,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายสามัญ
447.61,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,108,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1188.65,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,109,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาการ
152.1,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,110,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาการศึกษา
579.18,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,111,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาชีพ
