เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
มกราคม,1,2563,5168,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,2,2563,8513,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,3,2563,13926,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,4,2563,14406,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,5,2563,13252,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,6,2563,16544,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,7,2563,14212,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,8,2563,12811,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,9,2563,11485,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,10,2563,10119,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,11,2563,6393,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,12,2563,10716,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,13,2564,7508,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,14,2564,10150,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,15,2564,16524,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,16,2564,13854,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,17,2564,16839,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,18,2564,9832,การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
