_id,รถจดทะเบียนสะสม,ประเภทรถ,ปี,ที่มา,หน่วย,จังหวัด
1,36139,รวมยอด,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
2,2116,รถโดยสารประจำทาง,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
3,10,รถโดยสารไม่ประจำทาง,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
4,1757,รถโดยสารส่วนบุคคล,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
5,252,รถบรรทุกไม่ประจำทาง,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
6,19410,รถบรรทุกส่วนบุคคล,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
7,12594,รถขนาดเล็ก,2562,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
8,36844,รวมยอด,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
9,1995,รถโดยสารประจำทาง,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
10,10,รถโดยสารไม่ประจำทาง,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
11,1637,รถโดยสารส่วนบุคคล,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
12,259,รถบรรทุกไม่ประจำทาง,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
13,20455,รถบรรทุกส่วนบุคคล,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
14,12488,รถขนาดเล็ก,2563,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
15,38637,รวมยอด,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
16,1850,รถโดยสารประจำทาง,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
