_id,ปี,มูลค่า (บาท),อำเภอ,พื้นที่เสียหาย (ไร่)
1,2564,0,เมืองอุทัยธานี,0
2,2564,"305,097,624.00",ทัพทัน,54326.5
3,2564,"298,810,512.00",สว่างอารมณ์,53207
4,2564,"87,147,684.00",หนองฉาง,15517.75
5,2564,"22,287,096.00",หนองขาหย่าง,3968.5
6,2564,0,บ้านไร่,0
7,2564,0,ลานสัก,0
8,2564,0,ห้วยคต,0
9,2566,0,เมืองอุทัยธานี,0
10,2566,291347879,ทัพทัน,43284.5
11,2566,312210304.5,สว่างอารมณ์,48002
12,2566,0,หนองฉาง,0
13,2566,0,หนองขาหย่าง,0
14,2566,0,บ้านไร่,0
15,2566,104692.41,ลานสัก,15
16,2566,0,ห้วยคต,0
