จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
1.0,1,2566,นายจ้าง,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
11.8,2,2566,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
17.4,3,2566,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
53.6,4,2566,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
16.0,5,2566,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
0.2,6,2566,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
1.1,7,2566,นายจ้าง,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
11.0,8,2566,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
15.5,9,2566,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
48.3,10,2566,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
24.1,11,2566,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
n.a.,12,2566,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
1.4,13,2566,นายจ้าง,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
10.0,14,2566,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
14.1,15,2566,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
46.3,16,2566,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
28.2,17,2566,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
n.a.,18,2566,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
1.0,19,2566,นายจ้าง,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
10.4,20,2566,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
14.6,21,2566,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
48.4,22,2566,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
25.6,23,2566,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
n.a.,24,2566,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
1.2,25,2567,นายจ้าง,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
11.5,26,2567,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
21.0,27,2567,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
49.9,28,2567,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
16.1,29,2567,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
0.3,30,2567,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
1.1,31,2567,นายจ้าง,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
11.2,32,2567,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
17.2,33,2567,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
48.5,34,2567,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
21.6,35,2567,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
0.4,36,2567,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
1.0,37,2567,นายจ้าง,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
10.8,38,2567,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
13.9,39,2567,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
