_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,65.82,4102.82,341917,62334,222
2,2561,27.33,1699.35,338597,62179,206
3,2562,23.12,3398.48,337707,60488,204
4,2563,39.12,2313.09,329964,59128,206
5,2564,25.2,1378.29,316473,54694,221
