_id,ปี,อัตราการว่างงาน (%),เพศ,ไตรมาส
1,2564,0.267086881,ชาย,1
2,2564,0.622888978,หญิง,1
3,2564,0.449622975,ชาย,2
4,2564,0.836898087,หญิง,2
5,2564,2.131705878,ชาย,3
6,2564,0.813159419,หญิง,3
7,2564,0.049033437,ชาย,4
8,2564,0.844756817,หญิง,4
9,2565,1.131963549,ชาย,1
10,2565,1.721072258,หญิง,1
11,2565,0.908053325,ชาย,2
12,2565,1.614928266,หญิง,2
13,2565,0.735006646,ชาย,3
14,2565,2.289771467,หญิง,3
15,2565,0.134825782,ชาย,4
16,2565,0.767769295,หญิง,4
17,2566,0.783695729,ชาย,1
18,2566,0.081580042,หญิง,1
19,2566,0.309913601,ชาย,2
20,2566,1.407078649,หญิง,2
21,2566,0.03039057,ชาย,3
22,2566,0.740154009,หญิง,3
23,2566,0.072315168,ชาย,4
24,2566,0.258712759,หญิง,4
25,2567,1.03924047,ชาย,1
26,2567,1.426629847,หญิง,1
27,2567,0.370520196,ชาย,2
28,2567,0.332001847,หญิง,2
29,2567,0.652441954,ชาย,3
30,2567,0.127544605,หญิง,3
31,2567,0,ชาย,4
32,2567,0,หญิง,4
33,2568,0,ชาย,1
34,2568,0,หญิง,1
