﻿year,sex,quarter,_id,area,value,unit,source
2561,รวม,ไตรมาส 1,1,รวม,20.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,2,ในเขตเทศบาล,14.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,3,นอกเขตเทศบาล,26.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 2,4,รวม,15.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,5,ในเขตเทศบาล,8.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,6,นอกเขตเทศบาล,21.73,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 3,7,รวม,16.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,8,ในเขตเทศบาล,8.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,9,นอกเขตเทศบาล,22.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 4,10,รวม,14.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,11,ในเขตเทศบาล,7.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,12,นอกเขตเทศบาล,20.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 1,13,รวม,23.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ชาย,ไตรมาส 1,14,ในเขตเทศบาล,18.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,หญิง,ไตรมาส 1,15,นอกเขตเทศบาล,26.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 2,16,รวม,15.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ชาย,ไตรมาส 2,17,ในเขตเทศบาล,9.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,หญิง,ไตรมาส 2,18,นอกเขตเทศบาล,21.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 3,19,รวม,14.37,ร้อยละ,สำนักงานสถิติแห่งชาติ
