ผู้ประกันตนมาตรา 39,เจ็บป่วย,ผู้ประกันมาตรา 40,ชราภาพ,สงเคราะห์บุตร,ว่างงาน,_id,ปี,คลอดบุตร,ทุพพลภาพ,ผู้ประกันตนมาตรา 33,สถานประกอบการ,ตาย
34410,133316,57155,13983,46802,3801,1,2560,10169,576,257710,8841,919
40459,85509,69662,11268,46548,5565,2,2561,8357,637,266465,9220,830
43111,96296,76498,10089,48286,4898,3,2562,8067,716,257695,9361,1016
46064,44003,80433,110677,571176,195143,4,2563,11220,10417,246874,9491,2574
49832,51799,723161,145944,566575,186800,5,2564,13702,10888,255957,9832,2725
47828,41656,727364,181554,553067,110810,6,2565,18206,11912,259840,9998,3334
44230,34488,727507,225820,529178,107069,7,2566,17041,12955,256869,10270,3589
40892,22060,726714,293378,504732,94827,8,2567,11881,14097,259376,10409,3284
