เดือน,_id,ปี,ปริมาณผลผลิตอ้อย,หน่วย
มกราคม,1,2568," 723,722.00 ",ตัน
กุมภาพันธ์,2,2568," 1,744,456.00 ",ตัน
มีนาคม,3,2568," 1,020,618.00 ",ตัน
เมษายน,4,2568, -   ,ตัน
พฤษภาคม,5,2568, -   ,ตัน
มิถุนายน,6,2568, -   ,ตัน
กรกฎาคม,7,2568, -   ,ตัน
สิงหาคม,8,2568, -   ,ตัน
กันยายน,9,2568, -   ,ตัน
ตุลาคม,10,2568, -   ,ตัน
พฤศจิกายน,11,2568, -   ,ตัน
ธันวาคม,12,2568," 987,632.00 ",ตัน
