จำนวน,_id,ปี,การศึกษา,ประเภทแรงงาน
1058,1,2568,ไม่มีการศึกษา,แรงงานในระบบ
18531,2,2568,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
302123,3,2568,ประถมศึกษา,แรงงานในระบบ
229656,4,2568,มัธยมศึกษาตอนต้น,แรงงานในระบบ
335207,5,2568,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
328752,6,2568,อุดมศึกษา,แรงงานในระบบ
0,7,2568,อื่นๆ,แรงงานในระบบ
1251,8,2568,ไม่ทราบ,แรงงานในระบบ
5330,9,2568,ไม่มีการศึกษา,แรงงานนอกระบบ
18629,10,2568,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
105660,11,2568,ประถมศึกษา,แรงงานนอกระบบ
60444,12,2568,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
61443,13,2568,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
37748,14,2568,อุดมศึกษา,แรงงานนอกระบบ
0,15,2568,อื่นๆ,แรงงานนอกระบบ
0,16,2568,ไม่ทราบ,แรงงานนอกระบบ
7500,17,2567,ไม่มีการศึกษา,แรงงานในระบบ
21697,18,2567,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
288889,19,2567,ประถมศึกษา,แรงงานในระบบ
267802,20,2567,มัธยมศึกษาตอนต้น,แรงงานในระบบ
281097,21,2567,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
315583,22,2567,อุดมศึกษา,แรงงานในระบบ
0,23,2567,อื่นๆ,แรงงานในระบบ
12312,24,2567,ไม่ทราบ,แรงงานในระบบ
383,25,2567,ไม่มีการศึกษา,แรงงานนอกระบบ
33091,26,2567,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
74018,27,2567,ประถมศึกษา,แรงงานนอกระบบ
66626,28,2567,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
74025,29,2567,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
52865,30,2567,อุดมศึกษา,แรงงานนอกระบบ
0,31,2567,อื่นๆ,แรงงานนอกระบบ
0,32,2567,ไม่ทราบ,แรงงานนอกระบบ
11635,33,2566,ไม่มีการศึกษา,แรงงานในระบบ
17765,34,2566,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
180207,35,2566,ประถมศึกษา,แรงงานในระบบ
269534,36,2566,มัธยมศึกษาตอนต้น,แรงงานในระบบ
395845,37,2566,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
405518,38,2566,อุดมศึกษา,แรงงานในระบบ
0,39,2566,อื่นๆ,แรงงานในระบบ
13998,40,2566,ไม่ทราบ,แรงงานในระบบ
308,41,2566,ไม่มีการศึกษา,แรงงานนอกระบบ
28532,42,2566,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
50963,43,2566,ประถมศึกษา,แรงงานนอกระบบ
54064,44,2566,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
44416,45,2566,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
33696,46,2566,อุดมศึกษา,แรงงานนอกระบบ
0,47,2566,อื่นๆ,แรงงานนอกระบบ
0,48,2566,ไม่ทราบ,แรงงานนอกระบบ
8393,49,2565,ไม่มีการศึกษา,แรงงานในระบบ
32883,50,2565,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
191244,51,2565,ประถมศึกษา,แรงงานในระบบ
261953,52,2565,มัธยมศึกษาตอนต้น,แรงงานในระบบ
375482,53,2565,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
407370,54,2565,อุดมศึกษา,แรงงานในระบบ
0,55,2565,อื่นๆ,แรงงานในระบบ
0,56,2565,ไม่ทราบ,แรงงานในระบบ
706,57,2565,ไม่มีการศึกษา,แรงงานนอกระบบ
10963,58,2565,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
32407,59,2565,ประถมศึกษา,แรงงานนอกระบบ
31008,60,2565,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
27068,61,2565,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
29722,62,2565,อุดมศึกษา,แรงงานนอกระบบ
0,63,2565,อื่นๆ,แรงงานนอกระบบ
0,64,2565,ไม่ทราบ,แรงงานนอกระบบ
24307,65,2564,ไม่มีการศึกษา,แรงงานในระบบ
40868,66,2564,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
149058,67,2564,ประถมศึกษา,แรงงานในระบบ
247417,68,2564,มัธยมศึกษาตอนต้น,แรงงานในระบบ
304384,69,2564,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
323574,70,2564,อุดมศึกษา,แรงงานในระบบ
0,71,2564,อื่นๆ,แรงงานในระบบ
13085,72,2564,ไม่ทราบ,แรงงานในระบบ
0,73,2564,ไม่มีการศึกษา,แรงงานนอกระบบ
49869,74,2564,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
59810,75,2564,ประถมศึกษา,แรงงานนอกระบบ
51770,76,2564,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
41634,77,2564,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
56257,78,2564,อุดมศึกษา,แรงงานนอกระบบ
0,79,2564,อื่นๆ,แรงงานนอกระบบ
0,80,2564,ไม่ทราบ,แรงงานนอกระบบ
14751,81,2563,ไม่มีการศึกษา,แรงงานในระบบ
36062,82,2563,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
139260,83,2563,ประถมศึกษา,แรงงานในระบบ
231914,84,2563,มัธยมศึกษาตอนต้น,แรงงานในระบบ
279703,85,2563,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
355949,86,2563,อุดมศึกษา,แรงงานในระบบ
0,87,2563,อื่นๆ,แรงงานในระบบ
58970,88,2563,ไม่ทราบ,แรงงานในระบบ
3582,89,2563,ไม่มีการศึกษา,แรงงานนอกระบบ
37103,90,2563,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
65471,91,2563,ประถมศึกษา,แรงงานนอกระบบ
53456,92,2563,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
40757,93,2563,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
30834,94,2563,อุดมศึกษา,แรงงานนอกระบบ
0,95,2563,อื่นๆ,แรงงานนอกระบบ
2196,96,2563,ไม่ทราบ,แรงงานนอกระบบ
32489,97,2562,ไม่มีการศึกษา,แรงงานในระบบ
