เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
" 3,494 ",1,เมืองตาก,1
" 2,566 ",2,บ้านตาก,2
" 7,274 ",3,สามเงา,3
 27 ,4,แม่ระมาด,4
 12 ,5,ท่าสองยาง,5
 82 ,6,แม่สอด,6
 54 ,7,พบพระ,7
 20 ,8,อุ้มผาง,8
" 12,754 ",9,วังเจ้า,9
" 26,283 ",10,,รวม
,11,,
,12,,
