จำนวน,_id,ปี,เพศ,ไตรมาส
900178,1,2558,รวม,ไตรมาส 1
498752,2,2558,ชาย,ไตรมาส 1
401425,3,2558,หญิง,ไตรมาส 1
950123,4,2558,รวม,ไตรมาส 2
525386,5,2558,ชาย,ไตรมาส 2
424736,6,2558,หญิง,ไตรมาส 2
930778,7,2558,รวม,ไตรมาส 3
511775,8,2558,ชาย,ไตรมาส 3
419003,9,2558,หญิง,ไตรมาส 3
916262,10,2558,รวม,ไตรมาส 4
511664,11,2558,ชาย,ไตรมาส 4
404597,12,2558,หญิง,ไตรมาส 4
949434,13,2559,รวม,ไตรมาส 1
519808,14,2559,ชาย,ไตรมาส 1
429626,15,2559,หญิง,ไตรมาส 1
923232,16,2559,รวม,ไตรมาส 2
513061,17,2559,ชาย,ไตรมาส 2
410171,18,2559,หญิง,ไตรมาส 2
929005,19,2559,รวม,ไตรมาส 3
515793,20,2559,ชาย,ไตรมาส 3
413212,21,2559,หญิง,ไตรมาส 3
898944,22,2559,รวม,ไตรมาส 4
491134,23,2559,ชาย,ไตรมาส 4
407811,24,2559,หญิง,ไตรมาส 4
925266,25,2560,รวม,ไตรมาส 1
515928,26,2560,ชาย,ไตรมาส 1
409339,27,2560,หญิง,ไตรมาส 1
904291,28,2560,รวม,ไตรมาส 2
497056,29,2560,ชาย,ไตรมาส 2
407235,30,2560,หญิง,ไตรมาส 2
924740,31,2560,รวม,ไตรมาส 3
496383,32,2560,ชาย,ไตรมาส 3
428357,33,2560,หญิง,ไตรมาส 3
926382,34,2560,รวม,ไตรมาส 4
503482,35,2560,ชาย,ไตรมาส 4
422901,36,2560,หญิง,ไตรมาส 4
954423,37,2561,รวม,ไตรมาส 1
518759,38,2561,ชาย,ไตรมาส 1
435665,39,2561,หญิง,ไตรมาส 1
972989,40,2561,รวม,ไตรมาส 2
520753,41,2561,ชาย,ไตรมาส 2
452235,42,2561,หญิง,ไตรมาส 2
988350,43,2561,รวม,ไตรมาส 3
537694,44,2561,ชาย,ไตรมาส 3
450656,45,2561,หญิง,ไตรมาส 3
956762,46,2561,รวม,ไตรมาส 4
511707,47,2561,ชาย,ไตรมาส 4
445054,48,2561,หญิง,ไตรมาส 4
939855,49,2562,รวม,ไตรมาส 1
496404,50,2562,ชาย,ไตรมาส 1
443451,51,2562,หญิง,ไตรมาส 1
949091,52,2562,รวม,ไตรมาส 2
514443,53,2562,ชาย,ไตรมาส 2
434649,54,2562,หญิง,ไตรมาส 2
916404,55,2562,รวม,ไตรมาส 3
505714,56,2562,ชาย,ไตรมาส 3
410690,57,2562,หญิง,ไตรมาส 3
917094,58,2562,รวม,ไตรมาส 4
491842,59,2562,ชาย,ไตรมาส 4
425252,60,2562,หญิง,ไตรมาส 4
916836,61,2563,รวม,ไตรมาส 1
489831,62,2563,ชาย,ไตรมาส 1
427004,63,2563,หญิง,ไตรมาส 1
896918,64,2563,รวม,ไตรมาส 2
482145,65,2563,ชาย,ไตรมาส 2
414773,66,2563,หญิง,ไตรมาส 2
934339,67,2563,รวม,ไตรมาส 3
481007,68,2563,ชาย,ไตรมาส 3
453332,69,2563,หญิง,ไตรมาส 3
931850,70,2563,รวม,ไตรมาส 4
489257,71,2563,ชาย,ไตรมาส 4
442593,72,2563,หญิง,ไตรมาส 4
867310,73,2564,รวม,ไตรมาส 1
470947,74,2564,ชาย,ไตรมาส 1
396363,75,2564,หญิง,ไตรมาส 1
897181,76,2564,รวม,ไตรมาส 2
476232,77,2564,ชาย,ไตรมาส 2
420949,78,2564,หญิง,ไตรมาส 2
917161,79,2564,รวม,ไตรมาส 3
482672,80,2564,ชาย,ไตรมาส 3
434489,81,2564,หญิง,ไตรมาส 3
946406,82,2564,รวม,ไตรมาส 4
496455,83,2564,ชาย,ไตรมาส 4
449950,84,2564,หญิง,ไตรมาส 4
849975,85,2565,รวม,ไตรมาส 1
465223,86,2565,ชาย,ไตรมาส 1
384752,87,2565,หญิง,ไตรมาส 1
873098,88,2565,รวม,ไตรมาส 2
472269,89,2565,ชาย,ไตรมาส 2
400829,90,2565,หญิง,ไตรมาส 2
883538,91,2565,รวม,ไตรมาส 3
467946,92,2565,ชาย,ไตรมาส 3
415592,93,2565,หญิง,ไตรมาส 3
897501,94,2565,รวม,ไตรมาส 4
471710,95,2565,ชาย,ไตรมาส 4
425792,96,2565,หญิง,ไตรมาส 4
920401,97,2566,รวม,ไตรมาส 1
476236,98,2566,ชาย,ไตรมาส 1
444164,99,2566,หญิง,ไตรมาส 1
945806,100,2566,รวม,ไตรมาส 2
494636,101,2566,ชาย,ไตรมาส 2
451170,102,2566,หญิง,ไตรมาส 2
964922,103,2566,รวม,ไตรมาส 3
502402,104,2566,ชาย,ไตรมาส 3
462520,105,2566,หญิง,ไตรมาส 3
947528,106,2566,รวม,ไตรมาส 4
493491,107,2566,ชาย,ไตรมาส 4
454037,108,2566,หญิง,ไตรมาส 4
