﻿year,quarter,_id,value,unit,age_group,source
2560,ไตรมาส 3,1,4540.5,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,2,9458.2,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,3,7846.9,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,4,4075.3,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,5,798.4,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,6,3144.8,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,7,4144.5,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,8,4122.0,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,9,4462.2,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,10,9334.8,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,11,7763.8,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 4,12,3977.6,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,13,822.59,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,14,3133.53,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,15,4184.57,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,16,4124.23,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,17,4436.74,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,18,9387.9,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,19,7890.55,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 1,20,4165.26,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,21,784.79,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,22,3142.93,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,23,4241.97,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,24,4122.18,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,25,4431.73,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,26,9396.31,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,27,8030.8,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 2,28,4331.27,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,29,915.94,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,30,3196.71,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,31,4241.52,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,32,4113.1,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,33,4398.28,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,34,9391.66,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,35,8096.17,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 3,36,4372.08,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,37,817.46,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,38,3248.51,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,39,4241.25,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,40,4099.04,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,41,4363.98,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,42,9357.72,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,43,8069.11,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ไตรมาส 4,44,4184.48,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,45,731.96,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,46,3144.9,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,47,4270.98,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,48,4108.0,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,49,4380.05,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,50,9328.39,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,51,8113.45,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 1,52,4287.42,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,53,744.97,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,54,3135.38,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,55,4248.96,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,56,4111.48,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,57,4294.96,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,58,9313.69,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,59,8170.25,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 2,60,4400.44,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2568,ไตรมาส 4,61,436.83,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2568,ไตรมาส 4,62,3089.19,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2568,ไตรมาส 4,63,4616.11,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 3,64,664.27,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 3,65,3123.54,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 3,66,4251.75,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,ไตรมาส 3,67,4073.79,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
