เดือน,รายได้ชาวต่างชาติ,_id,ปี,รายได้ชาวไทย,หน่วย
1,"22,449.10",1,2561,"3,836.90",ล้านบาท
2,"20,545.50",2,2561,"4,044.00",ล้านบาท
3,"19,441.40",3,2561,"4,339.10",ล้านบาท
4,"21,666.70",4,2561,"4,448.50",ล้านบาท
5,"19,360.40",5,2561,"4,965.10",ล้านบาท
6,"16,560.10",6,2561,"4,686.50",ล้านบาท
7,"10,062.50",7,2561,"3,079.10",ล้านบาท
8,"9,973.00",8,2561,"3,601.00",ล้านบาท
9,"8,338.80",9,2561,"3,463.20",ล้านบาท
10,"20,104.30",10,2561,"4,888.40",ล้านบาท
11,"20,664.80",11,2561,"6,416.40",ล้านบาท
12,"21,653.29",12,2561,"5,966.30",ล้านบาท
1,"24,569.12",13,2562,"4,205.26",ล้านบาท
2,"22,171.77",14,2562,"4,537.99",ล้านบาท
3,"19,966.22",15,2562,"4,927.64",ล้านบาท
4,"22,955.72",16,2562,"4,569.36",ล้านบาท
5,"19,057.66",17,2562,"5,415.75",ล้านบาท
6,"16,871.53",18,2562,"4,863.50",ล้านบาท
7,"10,509.29",19,2562,"3,151.90",ล้านบาท
8,"10,580.23",20,2562,"3,245.07",ล้านบาท
9,"9,375.11",21,2562,"3,356.80",ล้านบาท
10,"21,072.80",22,2562,"5,337.13",ล้านบาท
11,"20,855.43",23,2562,"5,983.92",ล้านบาท
12,"21,722.78",24,2562,"5,775.36",ล้านบาท
1,"23,136.74",25,2563,"3,927.71",ล้านบาท
2,"6,937.55",26,2563,"2,213.66",ล้านบาท
3,"1,832.90",27,2563,"1,898.13",ล้านบาท
4,573.5,28,2563,0,ล้านบาท
5,563.96,29,2563,37.95,ล้านบาท
6,395.66,30,2563,895.64,ล้านบาท
7,164,31,2563,"1,956.04",ล้านบาท
8,148.55,32,2563,"2,216.56",ล้านบาท
9,112.09,33,2563,"2,248.62",ล้านบาท
10,197,34,2563,"3,378.32",ล้านบาท
11,314.08,35,2563,"4,859.96",ล้านบาท
12,134.48,36,2563,"4,356.33",ล้านบาท
1,21.94,37,2564,126.19,ล้านบาท
2,23.4,38,2564,392.07,ล้านบาท
3,22.19,39,2564,746.58,ล้านบาท
4,16.8,40,2564,845.21,ล้านบาท
5,5.02,41,2564,140.78,ล้านบาท
6,5.2,42,2564,182.91,ล้านบาท
7,4.27,43,2564,139.57,ล้านบาท
8,3.96,44,2564,116.02,ล้านบาท
9,5.65,45,2564,477.99,ล้านบาท
10,6.13,46,2564,930.46,ล้านบาท
11,66.76,47,2564,"3,339.12",ล้านบาท
12,88.87,48,2564,"4,221.38",ล้านบาท
1,"1,028.18",49,2565,"5,152.39",ล้านบาท
2,813.12,50,2565,"5,061.74",ล้านบาท
3,549.17,51,2565,"5,485.37",ล้านบาท
4,504.88,52,2565,"5,920.29",ล้านบาท
5,776.06,53,2565,"5,609.66",ล้านบาท
6,"1,149.51",54,2565,"5,660.21",ล้านบาท
7,"1,689.96",55,2565,"5,931.00",ล้านบาท
8,"2,084.11",56,2565,"5,993.50",ล้านบาท
9,"1,905.18",57,2565,"5,433.31",ล้านบาท
10,"2,783.35",58,2565,"6,325.27",ล้านบาท
11,"5,001.89",59,2565,"8,060.00",ล้านบาท
12,"6,985.61",60,2565,"9,566.80",ล้านบาท
1,"15,700.80",61,2566,"7,872.94",ล้านบาท
2,"15,743.81",62,2566,"6,213.61",ล้านบาท
3,"17,423.74",63,2566,"6,405.91",ล้านบาท
4,"19,323.18",64,2566,"7,278.19",ล้านบาท
5,"18,115.09",65,2566,"7,478.20",ล้านบาท
6,"18,953.68",66,2566,"7,392.38",ล้านบาท
7,"18,985.08",67,2566,"5,235.32",ล้านบาท
8,"17,793.56",68,2566,"7,579.15",ล้านบาท
9,"17,243.37",69,2566,"5,667.97",ล้านบาท
10,"15,304.05",70,2566,"7,974.47",ล้านบาท
11,"16,418.89",71,2566,"9,197.75",ล้านบาท
12,"18,362.22",72,2566,"10,307.82",ล้านบาท
1,"21,912.47",73,2567,"7,019.43",ล้านบาท
2,"23,600.45",74,2567,"6,371.26",ล้านบาท
3,"22,510.74",75,2567,"7,554.39",ล้านบาท
4,"13,649.52",76,2567,"9,945.94",ล้านบาท
5,"12,787.97",77,2567,"9,443.93",ล้านบาท
6,"12,944.16",78,2567,"8,586.31",ล้านบาท
7,"15,724.32",79,2567,"8,574.87",ล้านบาท
8,"16,469.81",80,2567,"7,533.91",ล้านบาท
9,"16,925.06",81,2567,"7,715.95",ล้านบาท
10,"16,504.55",82,2567,"10,414.85",ล้านบาท
11,"17,235.94",83,2567,"11,268.37",ล้านบาท
12,"19,936.33",84,2567,"12,180.49",ล้านบาท
