industry,_id,year,value,unit,source
เกษตรกรรม การป่าไม้ และการประมง,1,2556,34.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,2,2556,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,3,2556,16.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,4,2556,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,5,2556,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,6,2556,6.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,7,2556,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,8,2556,2.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,9,2556,6.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,10,2556,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,11,2556,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,12,2556,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,13,2556,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,14,2556,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,15,2556,4.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,16,2556,3.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,17,2556,1.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,18,2556,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,19,2556,1.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,20,2556,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,21,2556,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,22,2556,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,23,2557,33.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,24,2557,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,25,2557,16.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,26,2557,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,27,2557,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,28,2557,5.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,29,2557,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,30,2557,2.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,31,2557,6.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,32,2557,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,33,2557,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,34,2557,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,35,2557,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,36,2557,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,37,2557,4.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,38,2557,3.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,39,2557,1.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,40,2557,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,41,2557,1.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,42,2557,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,43,2557,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
