จำนวน,ประเภท,ที่มา,_id,ปี,หน่วยนับ,ชนิด,รายการข้อมูล,จังหวัด
15443,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,1,2560,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
224,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,2,2560,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
7939,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,3,2560,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,4,2560,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,5,2560,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
22,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,6,2560,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,7,2560,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
14,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,8,2560,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,9,2560,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,10,2560,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
