รายการ,ที่มา,ปีงบประมาณ,_id,Attribute,Value,จังหวัด
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2564,1,ผลผลิตสารกาแฟ (กก.) ,74250,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2564,2,ราคาผลผลิต สารการแฟ (บาท/กก.),300,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2564,3,มูลค่าการผลิต สารกาแฟ (บาท),22275000,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2565,4,ผลผลิตสารกาแฟ (กก.) ,91800,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2565,5,ราคาผลผลิต สารการแฟ (บาท/กก.),300,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2565,6,มูลค่าการผลิต สารกาแฟ (บาท),27540000,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2566,7,ผลผลิตสารกาแฟ (กก.) ,109350,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2566,8,ราคาผลผลิต สารการแฟ (บาท/กก.),300,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2566,9,มูลค่าการผลิต สารกาแฟ (บาท),32805000,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2567,10,ผลผลิตสารกาแฟ (กก.) ,148000,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2567,11,ราคาผลผลิต สารการแฟ (บาท/กก.),310,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2567,12,มูลค่าการผลิต สารกาแฟ (บาท),45880000,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2568,13,ผลผลิตสารกาแฟ (กก.) ,170200,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2568,14,ราคาผลผลิต สารการแฟ (บาท/กก.),310,กระบี่
ราคาและมูลค่าผลผลิตกาแฟ,สำนักงานเกษตรจังหวัดกระบี่,2568,15,มูลค่าการผลิต สารกาแฟ (บาท),52762000,กระบี่
