﻿year,sex,level_of_edu,quarter,_id,region,value,unit,source
2561,รวม,รวม,ไตรมาส 1,1,ทั่วประเทศ,20.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ไม่มีการศึกษา,ไตรมาส 1,2,ทั่วประเทศ,21.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ต่ำกว่าประถมศึกษา,ไตรมาส 1,3,ทั่วประเทศ,29.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ประถมศึกษา,ไตรมาส 1,4,ทั่วประเทศ,22.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนต้น,ไตรมาส 1,5,ทั่วประเทศ,19.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,6,ทั่วประเทศ,18.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),ไตรมาส 1,7,ทั่วประเทศ,13.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),ไตรมาส 1,8,ทั่วประเทศ,9.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา (สายวิชาการ),ไตรมาส 1,9,ทั่วประเทศ,16.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา (สายวิชาชีพ),ไตรมาส 1,10,ทั่วประเทศ,14.73,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา (สายวิชาการศึกษา),ไตรมาส 1,11,ทั่วประเทศ,15.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,การศึกษาอื่นๆ,ไตรมาส 1,12,ทั่วประเทศ,6.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,รวม,ไม่ทราบ,ไตรมาส 1,13,ทั่วประเทศ,11.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,รวม,ไตรมาส 1,14,ทั่วประเทศ,20.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไม่มีการศึกษา,ไตรมาส 1,15,ทั่วประเทศ,18.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,16,ทั่วประเทศ,28.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,ประถมศึกษา,ไตรมาส 1,17,ทั่วประเทศ,21.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ชาย,มัธยมศึกษาตอนต้น,ไตรมาส 1,18,ทั่วประเทศ,19.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
