ค่าข้อมูล,_id,ปี,อำเภอ,รายการข้อมูล,จังหวัด,หน่วย
174,1,2563,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
66,2,2563,นากลาง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
37,3,2563,โนนสัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
168,4,2563,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
33,5,2563,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
28,6,2563,นาวัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
394,7,2564,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
242,8,2564,นากลาง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
107,9,2564,โนนสัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
395,10,2564,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
173,11,2564,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
91,12,2564,นาวัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
500,13,2565,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
279,14,2565,นากลาง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
134,15,2565,โนนสัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
451,16,2565,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
222,17,2565,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
185,18,2565,นาวัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
600,19,2566,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
396,20,2566,นากลาง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
172,21,2566,โนนสัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
482,22,2566,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
268,23,2566,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
212,24,2566,นาวัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
693,25,2567,เมืองหนองบัวลำภู,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
421,26,2567,นากลาง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
207,27,2567,โนนสัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
560,28,2567,ศรีบุญเรือง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
303,29,2567,สุวรรณคูหา,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
247,30,2567,นาวัง,จำนวนบ่อบาดาล ประเภทเกษตรกรรม,หนองบัวลำภู,แห่ง
