_id,หน่วยผลผลิตเฉลี่ย,ปี,ข้อมูล,หน่วยผลผลิต,อำเภอ,เนื้อที่เพาะปลูก,เนื้อที่เก็บเกี่ยว,หน่วยเนื้อที่,ผลผลิต,ผลผลิตเฉลี่ย
1,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,เมืองสุพรรณบุรี,194804,187901,ไร่,138107,735
2,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,ดอนเจดีย์,95460,95460,ไร่,70354,737
3,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,ด่านช้าง,1728,1728,ไร่,743,430
4,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,เดิมบางนางบวช,175308,171333,ไร่,128157,748
5,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,บางปลาม้า,183599,170344,ไร่,126055,740
6,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,ศรีประจันต์,89557,89557,ไร่,67257,751
7,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,สองพี่น้อง,145820,145245,ไร่,106319,732
8,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,สามชุก,132811,132039,ไร่,100614,762
9,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,หนองหญ้าไซ,87107,87077,ไร่,61563,707
10,กิโลกรัมต่อไร่,2560,ข้าวนาปี,ตัน,อู่ทอง,132215,129851,ไร่,94791,730
11,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,เมืองสุพรรณบุรี,195500,193929,ไร่,143701,741
12,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,ดอนเจดีย์,96908,93691,ไร่,69050,737
13,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,ด่านช้าง,2648,2641,ไร่,1136,430
14,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,เดิมบางนางบวช,165977,165313,ไร่,127952,774
15,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,บางปลาม้า,185004,184126,ไร่,135701,737
16,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,ศรีประจันต์,80840,80819,ไร่,60938,754
17,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,สองพี่น้อง,135184,134878,ไร่,99810,740
18,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,สามชุก,128061,126758,ไร่,97223,767
19,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,หนองหญ้าไซ,89055,88932,ไร่,61363,690
20,กิโลกรัมต่อไร่,2561,ข้าวนาปี,ตัน,อู่ทอง,119475,118336,ไร่,86385,730
21,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,เมืองสุพรรณบุรี,187028,186143,ไร่,137560,739
22,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,ดอนเจดีย์,84534,62086,ไร่,45571,734
23,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,ด่านช้าง,2744,2639,ไร่,1122,425
24,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,เดิมบางนางบวช,189050,164090,ไร่,118965,725
25,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,บางปลาม้า,196780,193713,ไร่,142379,735
26,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,ศรีประจันต์,85163,84407,ไร่,63474,752
27,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,สองพี่น้อง,137844,135984,ไร่,99676,733
28,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,สามชุก,134465,114515,ไร่,85886,750
29,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,หนองหญ้าไซ,73573,20165,ไร่,12704,630
30,กิโลกรัมต่อไร่,2562,ข้าวนาปี,ตัน,อู่ทอง,117881,115035,ไร่,83400,725
31,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,เมืองสุพรรณบุรี,170390,168491,ไร่,117270,696
32,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,ดอนเจดีย์,69962,69721,ไร่,47404,680
33,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,ด่านช้าง,3811,3811,ไร่,1528,401
34,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,เดิมบางนางบวช,150461,147985,ไร่,103589,700
35,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,บางปลาม้า,196303,195390,ไร่,135405,693
36,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,ศรีประจันต์,85603,85395,ไร่,61911,725
37,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,สองพี่น้อง,154507,148113,ไร่,104123,703
38,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,สามชุก,105094,102584,ไร่,73860,720
39,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,หนองหญ้าไซ,92501,90991,ไร่,58325,641
40,กิโลกรัมต่อไร่,2563,ข้าวนาปี,ตัน,อู่ทอง,128461,124113,ไร่,85017,685
