จำนวน,รายการสถิติทางการ,_id,ปี,หน่วยนับ
33,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,1,2559,กลุ่ม
33,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,2,2560,กลุ่ม
10,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,3,2561,กลุ่ม
11,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,4,2562,กลุ่ม
1,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,5,2563,กลุ่ม
6,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,6,2564,กลุ่ม
6,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,7,2565,กลุ่ม
6,โรงงาน/ชุมชนที่แปรรูปข้าวหอมมะลิ,8,2566,กลุ่ม
