_id,ปี,ที่มา,จำนวน,อำเภอ,หน่วย,จังหวัด
1,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6024,รวมยอด,โรง,สมุทรปราการ
2,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1534,เมืองสมุทรปราการ,โรง,สมุทรปราการ
3,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,305,บางบ่อ,โรง,สมุทรปราการ
4,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1896,บางพลี,โรง,สมุทรปราการ
5,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,916,พระประแดง,โรง,สมุทรปราการ
6,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,630,พระสมุทรเจดีย์,โรง,สมุทรปราการ
7,2562,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,743,บางเสาธง,โรง,สมุทรปราการ
8,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6156,รวมยอด,โรง,สมุทรปราการ
9,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1564,เมืองสมุทรปราการ,โรง,สมุทรปราการ
10,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,323,บางบ่อ,โรง,สมุทรปราการ
11,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1926,บางพลี,โรง,สมุทรปราการ
12,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,924,พระประแดง,โรง,สมุทรปราการ
13,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,648,พระสมุทรเจดีย์,โรง,สมุทรปราการ
14,2563,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,771,บางเสาธง,โรง,สมุทรปราการ
15,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6426,รวมยอด,โรง,สมุทรปราการ
16,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1588,เมืองสมุทรปราการ,โรง,สมุทรปราการ
17,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,335,บางบ่อ,โรง,สมุทรปราการ
18,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1947,บางพลี,โรง,สมุทรปราการ
19,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,932,พระประแดง,โรง,สมุทรปราการ
20,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,653,พระสมุทรเจดีย์,โรง,สมุทรปราการ
21,2564,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,791,บางเสาธง,โรง,สมุทรปราการ
22,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6969,รวมยอด,โรง,สมุทรปราการ
23,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2064,เมืองสมุทรปราการ,โรง,สมุทรปราการ
24,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,387,บางบ่อ,โรง,สมุทรปราการ
25,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1984,บางพลี,โรง,สมุทรปราการ
26,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,933,พระประแดง,โรง,สมุทรปราการ
27,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,660,พระสมุทรเจดีย์,โรง,สมุทรปราการ
28,2565,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,941,บางเสาธง,โรง,สมุทรปราการ
29,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6438,รวมยอด,โรง,สมุทรปราการ
30,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1610,เมืองสมุทรปราการ,โรง,สมุทรปราการ
31,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,363,บางบ่อ,โรง,สมุทรปราการ
32,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1990,บางพลี,โรง,สมุทรปราการ
33,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,941,พระประแดง,โรง,สมุทรปราการ
34,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,689,พระสมุทรเจดีย์,โรง,สมุทรปราการ
35,2566,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,845,บางเสาธง,โรง,สมุทรปราการ
36,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6549,รวมยอด,โรง,สมุทรปราการ
37,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1639,เมืองสมุทรปราการ,โรง,สมุทรปราการ
38,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,372,บางบ่อ,โรง,สมุทรปราการ
39,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2031,บางพลี,โรง,สมุทรปราการ
40,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,942,พระประแดง,โรง,สมุทรปราการ
41,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,691,พระสมุทรเจดีย์,โรง,สมุทรปราการ
42,2567,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,874,บางเสาธง,โรง,สมุทรปราการ
43,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,"6,513",รวมยอด,โรง,สมุทรปราการ
44,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,"1,628",เมืองสมุทรปราการ,โรง,สมุทรปราการ
45,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,371,บางบ่อ,โรง,สมุทรปราการ
46,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,"2,018",บางพลี,โรง,สมุทรปราการ
47,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,928,พระประแดง,โรง,สมุทรปราการ
48,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,686,พระสมุทรเจดีย์,โรง,สมุทรปราการ
49,2568,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,882,บางเสาธง,โรง,สมุทรปราการ
