จำนวน,_id,ปี,แหล่งที่มา,เพศ,รายการ,จังหวัด,ช่วงเวลา,หน่วย
1,1,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.8,2,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.9,3,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.9,4,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.3,5,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1,6,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.1,7,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
0.8,8,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
2,9,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.4,10,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.6,11,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
1.1,12,2560,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.8,13,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.2,14,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.9,15,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.8,16,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.5,17,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.1,18,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.1,19,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1,20,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.1,21,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.4,22,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
 - ,23,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.8,24,2561,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.8,25,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.1,26,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.9,27,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.8,28,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.1,29,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.9,30,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.6,31,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.6,32,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1,33,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
2.2,34,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
2.3,35,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
2.2,36,2562,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
2.7,37,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.7,38,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
2.2,39,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
2.6,40,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
2.7,41,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
2.7,42,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
2,43,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
3.5,44,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
2.7,45,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
0.9,46,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.9,47,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.9,48,2563,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
2.5,49,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
2,50,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
2.3,51,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
3.2,52,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
2.2,53,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
