Province,Dataset_name,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,1,793,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,2,79,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บรรทุกส่วนบุคคล,คัน,การขนส่งและโลจิสติกส์,3,365,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์สามล้อส่วนบุคคล,คัน,การขนส่งและโลจิสติกส์,4,1,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างระหว่างจังหวัด,คัน,การขนส่งและโลจิสติกส์,5,1,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,6,1,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์สี่ล้อเล็กรับจ้าง,คัน,การขนส่งและโลจิสติกส์,7,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างสามล้อ,คัน,การขนส่งและโลจิสติกส์,8,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการธุรกิจ,คัน,การขนส่งและโลจิสติกส์,9,1,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการทัศนาจร,คัน,การขนส่งและโลจิสติกส์,10,1,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการให้เช่า,คัน,การขนส่งและโลจิสติกส์,11,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถจักรยานยนต์,คัน,การขนส่งและโลจิสติกส์,12,950,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถแทรกเตอร์,คัน,การขนส่งและโลจิสติกส์,13,30,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถบดถนน,คัน,การขนส่งและโลจิสติกส์,14,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
