_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิต,ผลผลิตเฉลี่ย
1,2560,45.03,68408225.1,"1,362.18"
2,2561,47.79,63675157.05,"1,849.26"
3,2562,42.64,51849387.2,1057.83
4,2563,44.85,86678201.2,1147.98
5,2564,43.63,100219811.57,1597.38
6,2565,40.98,89067161.4,1368.01
7,2566,43.09,213343674.62,2919.29
8,2567,41.0,98957659.45,1761.75
9,2568,41.24,155546660.0,3020.54
