เดือน,_id,ปี,บรรจุงาน,ผู้ลงทะเบียนสมัครงาน,ตำแหน่งงานว่าง
มกราคม,1,2569,218,302,402
กุมภาพันธ์,2,2569,217,304,268
มีนาคม,3,2569,164,220,351
เมษายน,4,2569,227,292,283
พฤษภาคม,5,2569,233,302,253
