VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
23.73,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,รวม,ร้อยละ,ทั่วประเทศ,2563
23.55,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,ชาย,ร้อยละ,ทั่วประเทศ,2563
23.93,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,หญิง,ร้อยละ,ทั่วประเทศ,2563
15.21,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,รวม,ร้อยละ,กรุงเทพฯ,2563
14.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,ร้อยละ,กรุงเทพฯ,2563
16.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,กรุงเทพฯ,2563
20.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,รวม,ร้อยละ,ภาคกลาง,2563
20.53,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,ชาย,ร้อยละ,ภาคกลาง,2563
20.63,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,ภาคกลาง,2563
26.63,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,รวม,ร้อยละ,ภาคเหนือ,2563
26.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,11,ชาย,ร้อยละ,ภาคเหนือ,2563
26.65,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,ภาคเหนือ,2563
24.64,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,13,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
24.47,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
24.84,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,15,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
34.63,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,16,รวม,ร้อยละ,ภาคใต้,2563
34.15,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,17,ชาย,ร้อยละ,ภาคใต้,2563
35.21,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,18,หญิง,ร้อยละ,ภาคใต้,2563
27.36,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,รวม,ร้อยละ,ทั่วประเทศ,2563
26.46,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,20,ชาย,ร้อยละ,ทั่วประเทศ,2563
28.43,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,21,หญิง,ร้อยละ,ทั่วประเทศ,2563
19.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,22,รวม,ร้อยละ,กรุงเทพฯ,2563
18.58,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,23,ชาย,ร้อยละ,กรุงเทพฯ,2563
20.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,24,หญิง,ร้อยละ,กรุงเทพฯ,2563
18.09,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,25,รวม,ร้อยละ,ภาคกลาง,2563
17.57,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,26,ชาย,ร้อยละ,ภาคกลาง,2563
18.71,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,27,หญิง,ร้อยละ,ภาคกลาง,2563
31.22,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,28,รวม,ร้อยละ,ภาคเหนือ,2563
30.23,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,29,ชาย,ร้อยละ,ภาคเหนือ,2563
32.43,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,30,หญิง,ร้อยละ,ภาคเหนือ,2563
29.84,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,31,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2563
