จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
7705,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
1315,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ครบุรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
9385.16,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,เสิงสาง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
227.5,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,คง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
551,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
1868,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,จักราช,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
2930.12,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,โชคชัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
38073,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ด่านขุนทด,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
17446,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,โนนไทย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
638.25,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,โนนสูง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
12340,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
26133.75,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
78085.75,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,สูงเนิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
11511,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ขามทะเลสอ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
33877,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,สีคิ้ว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
54572,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,16,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,ปากช่อง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
1985,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,17,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
22746.46,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,18,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
18514,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,19,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,เทพารักษ์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
10561.27,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,20,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,พระทองคำ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
1100,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,21,2569,ข้าวโพดเลี้ยงสัตว์,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
11510.74,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,22,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
10637.16,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,23,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,ครบุรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
2650.84,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,24,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,เสิงสาง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
288.5,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,25,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,คง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
426,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,26,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
2220,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,27,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,จักราช,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
4787.9,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,28,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,โชคชัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
40642.56,พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2568,ข้าวโพดเลี้ยงสัตว์,ไร่,ด่านขุนทด,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์
