commod,_id,crop_year,attribute,year_th,product_type,unit,province_name,values
ข้าวนาปี,1,2564/65,เนื้อที่เพาะปลูก,2564,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 24,733,030 "
ข้าวนาปี,2,2564/65,เนื้อที่เพาะปลูก,2564,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,993,259 "
ข้าวนาปี,3,2564/65,เนื้อที่เก็บเกี่ยว,2564,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 23,554,193 "
ข้าวนาปี,4,2564/65,เนื้อที่เก็บเกี่ยว,2564,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,768,463 "
ข้าวนาปี,5,2564/65,ผลผลิต,2564,ข้าวเจ้าหอมมะลิในพื้นที่,ตัน,ประเทศไทย," 8,574,750 "
ข้าวนาปี,6,2564/65,ผลผลิต,2564,ข้าวเจ้าหอมมะลินอกพื้นที่,ตัน,ประเทศไทย," 1,613,980 "
ข้าวนาปี,7,2564/65,ผลผลิตต่อเนื้อที่เพาะปลูก,2564,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 347 
ข้าวนาปี,8,2564/65,ผลผลิตต่อเนื้อที่เพาะปลูก,2564,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 404 
ข้าวนาปี,9,2564/65,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2564,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 364 
ข้าวนาปี,10,2564/65,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2564,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 428 
ข้าวนาปี,11,2565/66,เนื้อที่เพาะปลูก,2565,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 24,858,921 "
ข้าวนาปี,12,2565/67,เนื้อที่เพาะปลูก,2565,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,978,512 "
ข้าวนาปี,13,2565/66,เนื้อที่เก็บเกี่ยว,2565,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 22,958,514 "
ข้าวนาปี,14,2565/66,เนื้อที่เก็บเกี่ยว,2565,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,816,737 "
ข้าวนาปี,15,2565/66,ผลผลิต,2565,ข้าวเจ้าหอมมะลิในพื้นที่,ตัน,ประเทศไทย," 8,373,480 "
ข้าวนาปี,16,2565/66,ผลผลิต,2565,ข้าวเจ้าหอมมะลินอกพื้นที่,ตัน,ประเทศไทย," 1,664,556 "
ข้าวนาปี,17,2565/66,ผลผลิตต่อเนื้อที่เพาะปลูก,2565,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 337 
ข้าวนาปี,18,2565/66,ผลผลิตต่อเนื้อที่เพาะปลูก,2565,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 418 
ข้าวนาปี,19,2565/66,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2565,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 365 
ข้าวนาปี,20,2565/66,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2565,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 436 
ข้าวนาปี,21,2566/67,เนื้อที่เพาะปลูก,2566,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 24,687,832 "
ข้าวนาปี,22,2566/67,เนื้อที่เพาะปลูก,2566,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,923,008 "
ข้าวนาปี,23,2566/67,เนื้อที่เก็บเกี่ยว,2566,ข้าวเจ้าหอมมะลิในพื้นที่,ไร่,ประเทศไทย," 23,834,783 "
ข้าวนาปี,24,2566/67,เนื้อที่เก็บเกี่ยว,2566,ข้าวเจ้าหอมมะลินอกพื้นที่,ไร่,ประเทศไทย," 3,842,154 "
ข้าวนาปี,25,2566/67,ผลผลิต,2566,ข้าวเจ้าหอมมะลิในพื้นที่,ตัน,ประเทศไทย," 8,736,110 "
ข้าวนาปี,26,2566/67,ผลผลิต,2566,ข้าวเจ้าหอมมะลินอกพื้นที่,ตัน,ประเทศไทย," 1,654,782 "
ข้าวนาปี,27,2566/67,ผลผลิตต่อเนื้อที่เพาะปลูก,2566,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 354 
ข้าวนาปี,28,2566/67,ผลผลิตต่อเนื้อที่เพาะปลูก,2566,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 422 
ข้าวนาปี,29,2566/67,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2566,ข้าวเจ้าหอมมะลิในพื้นที่,กก./ไร่,ประเทศไทย, 367 
ข้าวนาปี,30,2566/67,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,2566,ข้าวเจ้าหอมมะลินอกพื้นที่,กก./ไร่,ประเทศไทย, 431 
