เงินทุนรวม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,ปี,แรงม้ารวม,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,พื้นที่โรงงาน,คนงานหญิง
7500000,อบ ทอด ผลไม้,337,กระทุ่มแบน,,,20740000000000,49,74110,สมุทรสาคร,2,227/258,2566,180.35,ดอนไก่ดี,บริษัท ซีซีเอ็มที จำกัด,30,1,จ32(1)10/54สค,บริษัท ซีซีเอ็มที จำกัด,912,19
57800000,ผลิตธัญพืชอบกรอบ,4056,เมืองสมุทรสาคร,,,20740100000000,152,74000,สมุทรสาคร,7,"3/3538,4041",2566,113.558,นาดี,บริษัท บรันช์ไทม์ จำกัด,72,2,จ32(1)8/65สค,บริษัท บรันช์ไทม์ จำกัด,11514,80
50000000,ต้ม นึ่ง หรืออบเมล็ดพืชเพื่อบริโภค และทำอาหารจากแป้งเป็นเส้น เม็ด หรือชิ้น,7808,เมืองสมุทรสาคร,พระรามที่ 2,,10740000000000,50,74000,สมุทรสาคร,1,Sep-59,2566,2994.32,บางโทรัด,บริษัท บี.เค.วาย. จำกัด,30,3,32(1)27/60สค,บริษัท บี.เค.วาย. จำกัด,96556,20
44000000,เมล็ดพืชเพื่อบริโภค ผลิตผลิตภัณฑ์อาหารสำเร็จรูปที่ทำจากแป้ง,0,เมืองสมุทรสาคร,พระราม 2,,72100100000000,16,74000,สมุทรสาคร,,Jan-65,2566,2117.61,ท่าทราย,บริษัท บี.เค.วาย จำกัด,16,4,น.2(1)1/2537ญนส.,บริษัท บี.เค.วาย จำกัด,0,0
22300000,ผลิตธัญพืชอบกรอบ ,1920,เมืองสมุทรสาคร,,,60740000000000,86,74000,สมุทรสาคร,7,Mar-38,2566,36.65,นาดี,บริษัท บรันช์ไทม์ จำกัด,52,5,อ22(1)5/60สค,บริษัท บรันช์ไทม์ จำกัด,2445,34
30000000,ผลิตเนื้อมะพร้าวอบแห้ง น้ำมะพร้าวสด เนื้อมะพร้าวขาวและน้ำมันมะพร้าว,750,เมืองสมุทรสาคร,,,20740000000000,62,74000,สมุทรสาคร,3,15/24,2566,131.97,บางโทรัด,บริษัท โรงสีข้าวจรินทร์ จันทร์แก้ว จำกัด,32,6,จ32(1)25/60สค,บริษัท โรงสีข้าวจรินทร์ จันทร์แก้ว จำกัด,3666,30
47000000,โรงงานผลิต พริกไทยป่น แปรรูป และแบ่งบรรจุผลิตภัณฑ์ เครื่องเทศ สมุนไพร ธัญพืช เห็ด และผงปรุงรส,680,เมืองสมุทรสาคร,,,20740200000000,12,74000,สมุทรสาคร,9,,2566,77,นาดี,บริษัท เอ.อาร์.เอส.ฟู้ดส์ จำกัด,8,7,จ32(1)25/63สค,บริษัท เอ.อาร์.เอส.ฟู้ดส์ จำกัด,2079,4
12000000,ผลิตเเละแปรรูปอาหาร,100,เมืองสมุทรสาคร,พระราม 2,,20740200000000,80,74000,สมุทรสาคร,1,59/2,2566,90,คอกกระบือ,นางสาววริษฐา ควรสถาพร,40,8,จ32(1)17/66สค,นางสาววริษฐา ควรสถาพร,100,40
562000000,"โรงงานผลิตอาหารโดยการอบผลผลิตจากพืช , ผลิตเครื่องปรุงรส",17460,เมืองสมุทรสาคร,,,10740000000000,360,74000,สมุทรสาคร,3,"116,116/1,116/2",2566,4034.72,บางโทรัด,บริษัท เจดีฟู้ด จำกัด (มหาชน),106,9,32(1)2/63สค,บริษัท เจดีฟู้ด จำกัด (มหาชน),53468,254
11000000,ต้ม อบ ดอง ผลิตผลเกษตรกรรม,612,เมืองสมุทรสาคร,,,20740000000000,52,74000,สมุทรสาคร,3,138/61,2566,486.8,บางหญ้าแพรก,นางสาวประทุมรัตน์ ภิรมย์รักษ์,22,10,จ32(1)38/61สค,นางสาวประทุมรัตน์ ภิรมย์รักษ์,818,30
