ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,หน่วยวัด
1,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,1,2561,ปราณบุรี,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,2,2562,เมืองประจวบคีรีขันธ์,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,3,2562,สามร้อยยอด,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,4,2564,เมืองประจวบคีรีขันธ์,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,5,2567,เมืองประจวบคีรีขันธ์,แห่ง
