จำนวน,_id,ปี,ประเภทรถ,จังหวัด
863,1,2568,รถโดยสารประจำทาง,ระยอง
1647,2,2568,รถโดยสารไม่ประจำทาง,ระยอง
271,3,2568,รถโดยสารส่วนบุคคล,ระยอง
13738,4,2568,รถบรรทุกไม่ประจำทาง,ระยอง
9787,5,2568,รถบรรทุกส่วนบุคคล,ระยอง
1,6,2568,รถบรรทุกรถขนาดเล็ก,ระยอง
921,7,2567,รถโดยสารประจำทาง,ระยอง
1632,8,2567,รถโดยสารไม่ประจำทาง,ระยอง
263,9,2567,รถโดยสารส่วนบุคคล,ระยอง
13664,10,2567,รถบรรทุกไม่ประจำทาง,ระยอง
9800,11,2567,รถบรรทุกส่วนบุคคล,ระยอง
1,12,2567,รถบรรทุกรถขนาดเล็ก,ระยอง
962,13,2566,รถโดยสารประจำทาง,ระยอง
1532,14,2566,รถโดยสารไม่ประจำทาง,ระยอง
256,15,2566,รถโดยสารส่วนบุคคล,ระยอง
13270,16,2566,รถบรรทุกไม่ประจำทาง,ระยอง
9725,17,2566,รถบรรทุกส่วนบุคคล,ระยอง
1,18,2566,รถบรรทุกรถขนาดเล็ก,ระยอง
1017,19,2565,รถโดยสารประจำทาง,ระยอง
1492,20,2565,รถโดยสารไม่ประจำทาง,ระยอง
249,21,2565,รถโดยสารส่วนบุคคล,ระยอง
12728,22,2565,รถบรรทุกไม่ประจำทาง,ระยอง
9614,23,2565,รถบรรทุกส่วนบุคคล,ระยอง
1,24,2565,รถบรรทุกรถขนาดเล็ก,ระยอง
1063,25,2564,รถโดยสารประจำทาง,ระยอง
1384,26,2564,รถโดยสารไม่ประจำทาง,ระยอง
253,27,2564,รถโดยสารส่วนบุคคล,ระยอง
12207,28,2564,รถบรรทุกไม่ประจำทาง,ระยอง
9565,29,2564,รถบรรทุกส่วนบุคคล,ระยอง
1,30,2564,รถบรรทุกรถขนาดเล็ก,ระยอง
