เดือน,ที่มา,_id,ปี,ลำดับเดือน,ค่า,รายการ,หน่วย
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,1,2559,1,113450,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,2,2559,2,165892,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,3,2559,3,321082,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,4,2559,4,324025,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,5,2559,5,320547,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,6,2559,6,263287,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,7,2559,7,203887,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,8,2559,8,177398,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,9,2559,9,181947,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,10,2559,10,178468,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,11,2559,11,261682,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,12,2559,12,164019,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,13,2560,1,102915,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,14,2560,2,183659,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,15,2560,3,352757,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,16,2560,4,471887,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,17,2560,5,351433,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,18,2560,6,159833,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,19,2560,7,101591,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,20,2560,8,136007,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,21,2560,9,224031,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,22,2560,10,333895,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,23,2560,11,447399,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,24,2560,12,443759,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,25,2561,1,329854,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,26,2561,2,349477,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,27,2561,3,375187,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,28,2561,4,307526,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,29,2561,5,293993,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,30,2561,6,282491,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,31,2561,7,221933,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,32,2561,8,218550,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,33,2561,9,227684,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,34,2561,10,239525,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,35,2561,11,273695,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,36,2561,12,263207,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,37,2562,1,239006,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,38,2562,2,258982,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,39,2562,3,289120,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,40,2562,4,362364,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,41,2562,5,381639,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,42,2562,6,335730,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,43,2562,7,402666,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,44,2562,8,323815,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
