ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,สถานภาพการทำงาน,ไตรมาส 2,เพศ,จังหวัด
" 422,594 ","414,602",1,2565," 431,705 ",ยอดรวม," 427,216 ",รวม,สระบุรี
" 232,578 ","226,465",2,2565," 235,210 ",ยอดรวม," 234,705 ",ชาย                         ,สระบุรี
" 190,016 ","188,137",3,2565," 196,495 ",ยอดรวม," 192,511 ",หญิง                        ,สระบุรี
" 8,079 ","11,546",4,2565," 7,361 ",นายจ้าง," 9,606 ",รวม,สระบุรี
" 5,711 ","9,423",5,2565," 4,843 ",นายจ้าง," 8,480 ",ชาย                         ,สระบุรี
" 2,367 ","2,123",6,2565," 2,518 ",นายจ้าง," 1,127 ",หญิง                        ,สระบุรี
" 29,330 ","31,519",7,2565," 27,292 ",ลูกจ้างรัฐบาล," 31,408 ",รวม,สระบุรี
" 12,751 ","14,136",8,2565," 11,792 ",ลูกจ้างรัฐบาล," 16,878 ",ชาย                         ,สระบุรี
" 16,579 ","17,383",9,2565," 15,501 ",ลูกจ้างรัฐบาล," 14,530 ",หญิง                        ,สระบุรี
" 217,270 ","207,062",10,2565," 230,166 ",ลูกจ้างเอกชน," 231,645 ",รวม,สระบุรี
" 130,287 ","122,484",11,2565," 135,694 ",ลูกจ้างเอกชน," 134,776 ",ชาย                         ,สระบุรี
" 86,983 ","84,578",12,2565," 94,473 ",ลูกจ้างเอกชน," 96,870 ",หญิง                        ,สระบุรี
" 121,364 ","120,420",13,2565," 117,441 ",ทำงานส่วนตัว," 111,904 ",รวม,สระบุรี
" 63,495 ","56,830",14,2565," 63,424 ",ทำงานส่วนตัว," 56,026 ",ชาย                         ,สระบุรี
" 57,869 ","63,589",15,2565," 54,017 ",ทำงานส่วนตัว," 55,878 ",หญิง                        ,สระบุรี
" 46,551 ","44,055",16,2565," 49,444 ",ช่วยธุรกิจครัวเรือน," 42,652 ",รวม,สระบุรี
" 20,334 ","23,592",17,2565," 19,457 ",ช่วยธุรกิจครัวเรือน," 18,546 ",ชาย                         ,สระบุรี
" 26,217 ","20,463",18,2565," 29,987 ",ช่วยธุรกิจครัวเรือน," 24,106 ",หญิง                        ,สระบุรี
-,-,19,2565,-,การรวมกลุ่ม,-,รวม,สระบุรี
-,-,20,2565,-,การรวมกลุ่ม,-,ชาย                         ,สระบุรี
-,-,21,2565,-,การรวมกลุ่ม,-,หญิง                        ,สระบุรี
" 419,096 ","417,998",22,2566," 420,184 ",ยอดรวม," 414,172 ",รวม,สระบุรี
" 234,113 ","231,325",23,2566," 235,874 ",ยอดรวม," 235,907 ",ชาย                         ,สระบุรี
" 184,983 ","186,673",24,2566," 184,309 ",ยอดรวม," 178,265 ",หญิง                        ,สระบุรี
" 12,316 ","12,271",25,2566," 9,157 ",นายจ้าง," 12,371 ",รวม,สระบุรี
" 7,504 ","10,468",26,2566," 5,060 ",นายจ้าง," 10,711 ",ชาย                         ,สระบุรี
" 4,812 ","1,803",27,2566," 4,097 ",นายจ้าง," 1,660 ",หญิง                        ,สระบุรี
" 34,582 ","38,385",28,2566," 36,255 ",ลูกจ้างรัฐบาล," 37,684 ",รวม,สระบุรี
" 13,049 ","18,055",29,2566," 14,933 ",ลูกจ้างรัฐบาล," 17,533 ",ชาย                         ,สระบุรี
" 21,533 ","20,330",30,2566," 21,321 ",ลูกจ้างรัฐบาล," 20,151 ",หญิง                        ,สระบุรี
" 219,445 ","215,853",31,2566," 216,813 ",ลูกจ้างเอกชน," 214,393 ",รวม,สระบุรี
" 136,913 ","126,683",32,2566," 134,033 ",ลูกจ้างเอกชน," 129,393 ",ชาย                         ,สระบุรี
" 82,532 ","89,171",33,2566," 82,781 ",ลูกจ้างเอกชน," 85,000 ",หญิง                        ,สระบุรี
" 110,091 ","105,133",34,2566," 109,743 ",ทำงานส่วนตัว," 102,256 ",รวม,สระบุรี
" 57,792 ","55,849",35,2566," 60,961 ",ทำงานส่วนตัว," 55,547 ",ชาย                         ,สระบุรี
" 52,299 ","49,284",36,2566," 48,783 ",ทำงานส่วนตัว," 46,709 ",หญิง                        ,สระบุรี
" 42,662 ","46,355",37,2566," 48,215 ",ช่วยธุรกิจครัวเรือน," 47,468 ",รวม,สระบุรี
" 18,854 ","20,270",38,2566," 20,888 ",ช่วยธุรกิจครัวเรือน," 22,723 ",ชาย                         ,สระบุรี
" 23,808 ","26,085",39,2566," 27,328 ",ช่วยธุรกิจครัวเรือน," 24,745 ",หญิง                        ,สระบุรี
-,-,40,2566,-,การรวมกลุ่ม,-,รวม,สระบุรี
-,-,41,2566,-,การรวมกลุ่ม,-,ชาย                         ,สระบุรี
-,-,42,2566,-,การรวมกลุ่ม,-,หญิง                        ,สระบุรี
