VALUE,SOURCE,_id,SEX,UNIT,YEAR
2683.73,สำนักงานสถิติแห่งชาติ,1,1. ชาย,พันคน,2563
2020.75,สำนักงานสถิติแห่งชาติ,2,2. หญิง,พันคน,2563
2779.38,สำนักงานสถิติแห่งชาติ,3,1. ชาย,พันคน,2564
2102.83,สำนักงานสถิติแห่งชาติ,4,2. หญิง,พันคน,2564
2574.18,สำนักงานสถิติแห่งชาติ,5,1. ชาย,พันคน,2565
2169.89,สำนักงานสถิติแห่งชาติ,6,2. หญิง,พันคน,2565
5531.63,สำนักงานสถิติแห่งชาติ,7,1. ชาย,พันคน,2566
4687.31,สำนักงานสถิติแห่งชาติ,8,2. หญิง,พันคน,2566
2892.41,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,2567
2371.78,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,2567
