year,_id,value,unit
2558,1,32.8,ร้อยละ
2559,2,32.7,ร้อยละ
2560,3,33.6,ร้อยละ
2561,4,33.9,ร้อยละ
2562,5,35.1,ร้อยละ
2563,6,39.3,ร้อยละ
2564,7,35.5,ร้อยละ
2565,8,36.9,ร้อยละ
2566,9,38.1,ร้อยละ
2567,10,38.2,ร้อยละ
2568,11,37.6,ร้อยละ
