จำนวน,ประเภท,_id,ปี,รายการ,หน่วย
"1,412,140",เจ็บป่วย,1,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
42,ทุพพลภาพ,2,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
853,ตาย,3,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"6,633",คลอดบุตร,4,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"11,306",ชราภาพ,5,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"29,339",สงเคราะห์บุตร,6,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"4,936",ว่างงาน,7,2561,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"1,590,552",เจ็บป่วย,8,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
423,ทุพพลภาพ,9,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
934,ตาย,10,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"6,831",คลอดบุตร,11,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"12,630",ชราภาพ,12,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"30,551",สงเคราะห์บุตร,13,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"5,411",ว่างงาน,14,2562,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"1,491,165",เจ็บป่วย,15,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
458,ทุพพลภาพ,16,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
916,ตาย,17,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"6,560",คลอดบุตร,18,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"13,270",ชราภาพ,19,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"30,277",สงเคราะห์บุตร,20,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"11,924",ว่างงาน,21,2563,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"1,265,317",เจ็บป่วย,22,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
492,ทุพพลภาพ,23,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
974,ตาย,24,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"5,936",คลอดบุตร,25,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"16,251",ชราภาพ,26,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"30,916",สงเคราะห์บุตร,27,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"7,988",ว่างงาน,28,2564,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"125,953",เจ็บป่วย,29,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
514,ทุพพลภาพ,30,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"1,084",ตาย,31,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"5,683",คลอดบุตร,32,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"16,655",ชราภาพ,33,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"30,403",สงเคราะห์บุตร,34,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
"5,198",ว่างงาน,35,2565,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 39,คน
" 125,688 ",เจ็บป่วย,36,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 40,คน
 562 ,ทุพพลภาพ,37,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 41,คน
 989 ,ตาย,38,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 42,คน
" 4,752 ",คลอดบุตร,39,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 43,คน
" 15,657 ",ชราภาพ,40,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 44,คน
" 29,241 ",สงเคราะห์บุตร,41,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 45,คน
" 4,785 ",ว่างงาน,42,2566,การใช้บริการของผู้ประกันตนตามมาตรา 33 และมาตรา 46,คน
