ประเภทกิจการโรงาน,จำนวนโรงงาน,_id,ปี,อำเภอ
การทำไอศกรีม,1,1,2568,เมืองลพบุรี
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,17,2,2568,เมืองลพบุรี
โรงงานประกอบกิจการเกี่ยวกับถลุง ผสม ทำให้บริสุทธิ์ หลอม หล่อ รีด ดึง หรือผลิตโลหะในขั้นต้น ซึ่งมิใช่เหล็กหรือเหล็กกล้า (non-ferrous metal basic industries),1,3,2568,เมืองลพบุรี
โรงงานผลิต ซ่อม หล่อ หรือหล่อดอกยางนอกหรือยางในสำหรับยานพาหนะ ที่เคลื่อนที่ด้วยเครื่องกล คนหรือสัตว์,1,4,2568,เมืองลพบุรี
การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,3,5,2568,เมืองลพบุรี
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,3,6,2568,โคกสำโรง
โรงงานประกอบกิจการเกี่ยวกับการนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,3,7,2568,โคกสำโรง
โรงงานประกอบกิจการเกี่ยวกับถลุง ผสม ทำให้บริสุทธิ์ หลอม หล่อ รีด ดึง หรือผลิตโลหะในขั้นต้น ซึ่งมิใช่เหล็กหรือเหล็กกล้า (non-ferrous metal basic industries),2,8,2568,โคกสำโรง
การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,1,9,2568,โคกสำโรง
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,7,10,2568,ชัยบาดาล
