ชั่วโมงทำงาน,จำนวน,_id,ปี,เพศ,ไตรมาส,หน่วย
น้อยกว่า 1 ชั่วโมง, - ,1,2566,ชาย,1,คน
1 - 9 ชั่วโมง,174,2,2566,ชาย,1,คน
10 - 19 ชั่วโมง,"2,907",3,2566,ชาย,1,คน
20 - 29 ชั่วโมง,"8,061",4,2566,ชาย,1,คน
30 - 34 ชั่วโมง,"11,221",5,2566,ชาย,1,คน
35 - 39 ชั่วโมง,"11,436",6,2566,ชาย,1,คน
40 - 49 ชั่วโมง,"64,556",7,2566,ชาย,1,คน
50 ชั่วโมงขึ้นไป,"20,700",8,2566,ชาย,1,คน
น้อยกว่า 1 ชั่วโมง,"1,006",9,2566,หญิง,1,คน
1 - 9 ชั่วโมง, - ,10,2566,หญิง,1,คน
10 - 19 ชั่วโมง,"1,761",11,2566,หญิง,1,คน
20 - 29 ชั่วโมง,"8,226",12,2566,หญิง,1,คน
30 - 34 ชั่วโมง,"12,028",13,2566,หญิง,1,คน
35 - 39 ชั่วโมง,"13,656",14,2566,หญิง,1,คน
40 - 49 ชั่วโมง,"46,546",15,2566,หญิง,1,คน
50 ชั่วโมงขึ้นไป,"27,024",16,2566,หญิง,1,คน
น้อยกว่า 1 ชั่วโมง,94,17,2566,ชาย,2,คน
1 - 9 ชั่วโมง, - ,18,2566,ชาย,2,คน
10 - 19 ชั่วโมง,758,19,2566,ชาย,2,คน
20 - 29 ชั่วโมง,"2,811",20,2566,ชาย,2,คน
30 - 34 ชั่วโมง,"6,300",21,2566,ชาย,2,คน
35 - 39 ชั่วโมง,"11,248",22,2566,ชาย,2,คน
40 - 49 ชั่วโมง,"72,280",23,2566,ชาย,2,คน
50 ชั่วโมงขึ้นไป,"30,288",24,2566,ชาย,2,คน
น้อยกว่า 1 ชั่วโมง,84,25,2566,หญิง,2,คน
1 - 9 ชั่วโมง, - ,26,2566,หญิง,2,คน
10 - 19 ชั่วโมง,897,27,2566,หญิง,2,คน
20 - 29 ชั่วโมง,"3,322",28,2566,หญิง,2,คน
30 - 34 ชั่วโมง,"3,983",29,2566,หญิง,2,คน
35 - 39 ชั่วโมง,"11,481",30,2566,หญิง,2,คน
40 - 49 ชั่วโมง,"59,477",31,2566,หญิง,2,คน
50 ชั่วโมงขึ้นไป,"29,134",32,2566,หญิง,2,คน
น้อยกว่า 1 ชั่วโมง, - ,33,2566,ชาย,3,คน
1 - 9 ชั่วโมง, - ,34,2566,ชาย,3,คน
10 - 19 ชั่วโมง,605,35,2566,ชาย,3,คน
20 - 29 ชั่วโมง,"1,251",36,2566,ชาย,3,คน
30 - 34 ชั่วโมง,"7,930",37,2566,ชาย,3,คน
35 - 39 ชั่วโมง,"9,902",38,2566,ชาย,3,คน
40 - 49 ชั่วโมง,"72,924",39,2566,ชาย,3,คน
50 ชั่วโมงขึ้นไป,"26,120",40,2566,ชาย,3,คน
น้อยกว่า 1 ชั่วโมง,203,41,2566,หญิง,3,คน
1 - 9 ชั่วโมง,783,42,2566,หญิง,3,คน
10 - 19 ชั่วโมง,780,43,2566,หญิง,3,คน
20 - 29 ชั่วโมง,"4,020",44,2566,หญิง,3,คน
30 - 34 ชั่วโมง,"5,272",45,2566,หญิง,3,คน
35 - 39 ชั่วโมง,"11,521",46,2566,หญิง,3,คน
40 - 49 ชั่วโมง,"63,646",47,2566,หญิง,3,คน
50 ชั่วโมงขึ้นไป,"27,687",48,2566,หญิง,3,คน
น้อยกว่า 1 ชั่วโมง,87,49,2566,ชาย,4,คน
1 - 9 ชั่วโมง, - ,50,2566,ชาย,4,คน
10 - 19 ชั่วโมง,280,51,2566,ชาย,4,คน
20 - 29 ชั่วโมง,"2,029",52,2566,ชาย,4,คน
30 - 34 ชั่วโมง,"6,686",53,2566,ชาย,4,คน
35 - 39 ชั่วโมง,"17,653",54,2566,ชาย,4,คน
40 - 49 ชั่วโมง,"65,230",55,2566,ชาย,4,คน
50 ชั่วโมงขึ้นไป,"26,382",56,2566,ชาย,4,คน
น้อยกว่า 1 ชั่วโมง,293,57,2566,หญิง,4,คน
1 - 9 ชั่วโมง, - ,58,2566,หญิง,4,คน
10 - 19 ชั่วโมง,914,59,2566,หญิง,4,คน
20 - 29 ชั่วโมง,"2,886",60,2566,หญิง,4,คน
30 - 34 ชั่วโมง,"6,700",61,2566,หญิง,4,คน
35 - 39 ชั่วโมง,"14,609",62,2566,หญิง,4,คน
40 - 49 ชั่วโมง,"56,454",63,2566,หญิง,4,คน
