AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
ยอดรวม,1.25,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,1,หญิง,ร้อยละ,5) ภาคใต้,2567
15-19 ปี,3.71,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,2,หญิง,ร้อยละ,5) ภาคใต้,2567
20-24 ปี,8.7,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,3,หญิง,ร้อยละ,5) ภาคใต้,2567
25-29 ปี,0.75,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,4,หญิง,ร้อยละ,5) ภาคใต้,2567
30-34 ปี,1.09,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,5,หญิง,ร้อยละ,5) ภาคใต้,2567
35-39 ปี,0.14,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,5) ภาคใต้,2567
40-49 ปี,0.65,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,7,หญิง,ร้อยละ,5) ภาคใต้,2567
50-59 ปี,0.45,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,8,หญิง,ร้อยละ,5) ภาคใต้,2567
60 ปีขึ้นไป,0.43,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,5) ภาคใต้,2567
15-19 ปี,5.12,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,10,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
15-19 ปี,5.92,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,11,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,7.39,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,6.57,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,13,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,1.91,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,1.66,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,15,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,1.52,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,16,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,2.23,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,17,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,0.74,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,18,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,0.55,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,19,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,0.49,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,20,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,0.42,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,21,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,0.33,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,22,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,0.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,23,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,24,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,25,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,1.02,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,26,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
รวม,1.16,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,27,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,1.09,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,28,รวม,ร้อยละ,กรุงเทพมหานคร,2568
รวม,0.89,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,29,รวม,ร้อยละ,ทั่วราชอาณาจักร,2568
15-19 ปี,11.19,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,30,หญิง,ร้อยละ,ภาคกลาง,2568
15-19 ปี,3.52,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,31,ชาย,ร้อยละ,ภาคกลาง,2568
20-24 ปี,6.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,32,ชาย,ร้อยละ,ภาคกลาง,2568
20-24 ปี,5.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,33,หญิง,ร้อยละ,ภาคกลาง,2568
25-29 ปี,2.33,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,34,หญิง,ร้อยละ,ภาคกลาง,2568
25-29 ปี,1.38,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,35,ชาย,ร้อยละ,ภาคกลาง,2568
30-34 ปี,0.67,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,36,หญิง,ร้อยละ,ภาคกลาง,2568
30-34 ปี,1.16,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,37,ชาย,ร้อยละ,ภาคกลาง,2568
35-39 ปี,0.28,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,38,ชาย,ร้อยละ,ภาคกลาง,2568
35-39 ปี,0.65,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,39,หญิง,ร้อยละ,ภาคกลาง,2568
40-49 ปี,0.21,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,40,ชาย,ร้อยละ,ภาคกลาง,2568
40-49 ปี,0.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,41,หญิง,ร้อยละ,ภาคกลาง,2568
50-59 ปี,0.13,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,42,ชาย,ร้อยละ,ภาคกลาง,2568
50-59 ปี,0.21,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,43,หญิง,ร้อยละ,ภาคกลาง,2568
60 ปีขึ้นไป,0.01,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,44,หญิง,ร้อยละ,ภาคกลาง,2568
60 ปีขึ้นไป,0.01,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,45,ชาย,ร้อยละ,ภาคกลาง,2568
รวม,0.99,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,46,ชาย,ร้อยละ,ภาคกลาง,2568
รวม,1.13,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,47,หญิง,ร้อยละ,ภาคกลาง,2568
รวม,1.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,48,รวม,ร้อยละ,ภาคกลาง,2568
15-19 ปี,6.04,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,49,ชาย,ร้อยละ,ภาคใต้,2568
15-19 ปี,2.44,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,50,หญิง,ร้อยละ,ภาคใต้,2568
20-24 ปี,3.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,51,ชาย,ร้อยละ,ภาคใต้,2568
20-24 ปี,7.64,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,52,หญิง,ร้อยละ,ภาคใต้,2568
25-29 ปี,2.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,53,ชาย,ร้อยละ,ภาคใต้,2568
25-29 ปี,2.33,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,54,หญิง,ร้อยละ,ภาคใต้,2568
30-34 ปี,0.14,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,55,ชาย,ร้อยละ,ภาคใต้,2568
30-34 ปี,0.46,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,56,หญิง,ร้อยละ,ภาคใต้,2568
35-39 ปี,0.62,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,57,หญิง,ร้อยละ,ภาคใต้,2568
35-39 ปี,0.13,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,58,ชาย,ร้อยละ,ภาคใต้,2568
40-49 ปี,0.16,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,59,หญิง,ร้อยละ,ภาคใต้,2568
40-49 ปี,0.23,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,60,ชาย,ร้อยละ,ภาคใต้,2568
50-59 ปี,0.01,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,61,ชาย,ร้อยละ,ภาคใต้,2568
50-59 ปี,0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,62,หญิง,ร้อยละ,ภาคใต้,2568
60 ปีขึ้นไป,0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,63,ชาย,ร้อยละ,ภาคใต้,2568
60 ปีขึ้นไป,0.03,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,64,หญิง,ร้อยละ,ภาคใต้,2568
รวม,0.72,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,65,ชาย,ร้อยละ,ภาคใต้,2568
รวม,1.04,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,66,หญิง,ร้อยละ,ภาคใต้,2568
รวม,0.87,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,67,รวม,ร้อยละ,ภาคใต้,2568
15-19 ปี,19.18,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,68,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
15-19 ปี,26.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,69,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
20-24 ปี,8.07,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,70,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
20-24 ปี,13.34,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,71,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
25-29 ปี,7.12,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,72,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
25-29 ปี,1.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,73,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
30-34 ปี,1.32,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,74,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
30-34 ปี,1.98,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,75,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
35-39 ปี,0.76,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,76,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
35-39 ปี,0.24,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,77,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
40-49 ปี,0.06,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,78,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
40-49 ปี,0.07,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,79,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
50-59 ปี,0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,80,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
20-24 ปี,4.18,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,81,ชาย,ร้อยละ,ภาคเหนือ,2568
20-24 ปี,6.47,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,82,หญิง,ร้อยละ,ภาคเหนือ,2568
25-29 ปี,2.54,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,83,ชาย,ร้อยละ,ภาคเหนือ,2568
25-29 ปี,0.74,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,84,หญิง,ร้อยละ,ภาคเหนือ,2568
30-34 ปี,0.66,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,85,ชาย,ร้อยละ,ภาคเหนือ,2568
30-34 ปี,0.87,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,86,หญิง,ร้อยละ,ภาคเหนือ,2568
35-39 ปี,0.27,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,87,หญิง,ร้อยละ,ภาคเหนือ,2568
35-39 ปี,0.27,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,88,ชาย,ร้อยละ,ภาคเหนือ,2568
40-49 ปี,0.25,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,89,หญิง,ร้อยละ,ภาคเหนือ,2568
40-49 ปี,0.42,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,90,ชาย,ร้อยละ,ภาคเหนือ,2568
50-59 ปี,0.42,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,91,ชาย,ร้อยละ,ภาคเหนือ,2568
50-59 ปี,0.13,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,92,หญิง,ร้อยละ,ภาคเหนือ,2568
60 ปีขึ้นไป,0.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,93,ชาย,ร้อยละ,ภาคเหนือ,2568
60 ปีขึ้นไป,0.42,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,94,หญิง,ร้อยละ,ภาคเหนือ,2568
รวม,0.97,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,95,ชาย,ร้อยละ,ภาคเหนือ,2568
