มาตรา 39,มาตรา 40,_id,ปี,รวมทั้งสิ้น,มาตรา 33,หน่วยวัด,รายการข้อมูล,จังหวัด,หน่วยงาน
4,180,1,2565,186,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กระบี่,สำนักงานประกันสังคมจังหวัด
,,2,2565,0,,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กรุงเทพมหานคร,สำนักงานประกันสังคมจังหวัด
26,290,3,2565,324,8,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาญจนบุรี,สำนักงานประกันสังคมจังหวัด
2,247,4,2565,250,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาฬสินธุ์,สำนักงานประกันสังคมจังหวัด
8,444,5,2565,463,11,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กำแพงเพชร,สำนักงานประกันสังคมจังหวัด
30,509,6,2565,558,19,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ขอนแก่น,สำนักงานประกันสังคมจังหวัด
13,150,7,2565,171,8,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,จันทบุรี,สำนักงานประกันสังคมจังหวัด
42,248,8,2565,328,38,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ฉะเชิงเทรา,สำนักงานประกันสังคมจังหวัด
181,286,9,2565,584,117,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชลบุรี,สำนักงานประกันสังคมจังหวัด
4,223,10,2565,228,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยนาท,สำนักงานประกันสังคมจังหวัด
11,391,11,2565,410,8,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยภูมิ,สำนักงานประกันสังคมจังหวัด
7,154,12,2565,166,5,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชุมพร,สำนักงานประกันสังคมจังหวัด
40,333,13,2565,385,12,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงราย,สำนักงานประกันสังคมจังหวัด
326,760,14,2565,1165,79,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงใหม่,สำนักงานประกันสังคมจังหวัด
7,331,15,2565,346,8,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตรัง,สำนักงานประกันสังคมจังหวัด
5,156,16,2565,165,4,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตราด,สำนักงานประกันสังคมจังหวัด
9,124,17,2565,135,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตาก,สำนักงานประกันสังคมจังหวัด
19,74,18,2565,102,9,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครนายก,สำนักงานประกันสังคมจังหวัด
80,257,19,2565,370,33,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครปฐม,สำนักงานประกันสังคมจังหวัด
5,115,20,2565,120,0,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครพนม,สำนักงานประกันสังคมจังหวัด
41,338,21,2565,423,44,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครราชสีมา,สำนักงานประกันสังคมจังหวัด
17,389,22,2565,411,5,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครศรีธรรมราช,สำนักงานประกันสังคมจังหวัด
16,355,23,2565,387,16,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครสวรรค์,สำนักงานประกันสังคมจังหวัด
216,312,24,2565,613,85,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นนทบุรี,สำนักงานประกันสังคมจังหวัด
6,114,25,2565,121,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นราธิวาส,สำนักงานประกันสังคมจังหวัด
5,243,26,2565,253,5,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,น่าน,สำนักงานประกันสังคมจังหวัด
1,79,27,2565,81,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บึงกาฬ,สำนักงานประกันสังคมจังหวัด
9,303,28,2565,317,5,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บุรีรัมย์,สำนักงานประกันสังคมจังหวัด
284,345,29,2565,711,82,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปทุมธานี,สำนักงานประกันสังคมจังหวัด
9,141,30,2565,153,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ประจวบคีรีขันธ์,สำนักงานประกันสังคมจังหวัด
14,116,31,2565,141,11,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปราจีนบุรี,สำนักงานประกันสังคมจังหวัด
3,116,32,2565,125,6,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปัตตานี,สำนักงานประกันสังคมจังหวัด
77,201,33,2565,278,null,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พระนครศรีอยุธยา,สำนักงานประกันสังคมจังหวัด
6,1463,34,2565,1472,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พะเยา,สำนักงานประกันสังคมจังหวัด
3,247,35,2565,253,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พังงา,สำนักงานประกันสังคมจังหวัด
1,325,36,2565,327,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พัทลุง,สำนักงานประกันสังคมจังหวัด
10,259,37,2565,271,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิจิตร,สำนักงานประกันสังคมจังหวัด
16,453,38,2565,476,7,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิษณุโลก,สำนักงานประกันสังคมจังหวัด
12,136,39,2565,154,6,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบุรี,สำนักงานประกันสังคมจังหวัด
12,252,40,2565,274,10,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัด
8,364,41,2565,376,4,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แพร่,สำนักงานประกันสังคมจังหวัด
40,217,42,2565,285,28,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ภูเก็ต,สำนักงานประกันสังคมจังหวัด
7,210,43,2565,219,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มหาสารคาม,สำนักงานประกันสังคมจังหวัด
2,234,44,2565,241,5,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มุกดาหาร,สำนักงานประกันสังคมจังหวัด
4,167,45,2565,171,0,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แม่ฮ่องสอน,สำนักงานประกันสังคมจังหวัด
3,353,46,2565,356,0,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยโสธร,สำนักงานประกันสังคมจังหวัด
3,93,47,2565,98,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยะลา,สำนักงานประกันสังคมจังหวัด
13,248,48,2565,267,6,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ร้อยเอ็ด,สำนักงานประกันสังคมจังหวัด
1,170,49,2565,172,1,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระนอง,สำนักงานประกันสังคมจังหวัด
72,218,50,2565,348,58,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระยอง,สำนักงานประกันสังคมจังหวัด
33,274,51,2565,320,13,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ราชบุรี,สำนักงานประกันสังคมจังหวัด
18,189,52,2565,211,4,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลพบุรี,สำนักงานประกันสังคมจังหวัด
22,418,53,2565,447,7,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำปาง,สำนักงานประกันสังคมจังหวัด
47,510,54,2565,566,9,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำพูน,สำนักงานประกันสังคมจังหวัด
6,385,55,2565,395,4,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เลย,สำนักงานประกันสังคมจังหวัด
6,413,56,2565,426,7,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ศรีสะเกษ,สำนักงานประกันสังคมจังหวัด
8,314,57,2565,326,4,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สกลนคร,สำนักงานประกันสังคมจังหวัด
49,257,58,2565,326,20,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สงขลา,สำนักงานประกันสังคมจังหวัด
0,145,59,2565,148,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สตูล,สำนักงานประกันสังคมจังหวัด
272,431,60,2565,807,104,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรปราการ,สำนักงานประกันสังคมจังหวัด
7,119,61,2565,135,9,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสงคราม,สำนักงานประกันสังคมจังหวัด
81,207,62,2565,340,52,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสาคร,สำนักงานประกันสังคมจังหวัด
5,183,63,2565,191,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระแก้ว,สำนักงานประกันสังคมจังหวัด
31,251,64,2565,309,27,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระบุรี,สำนักงานประกันสังคมจังหวัด
8,145,65,2565,155,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สิงห์บุรี,สำนักงานประกันสังคมจังหวัด
10,342,66,2565,355,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุโขทัย,สำนักงานประกันสังคมจังหวัด
12,230,67,2565,249,7,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุพรรณบุรี,สำนักงานประกันสังคมจังหวัด
20,320,68,2565,353,13,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุราษฎร์ธานี,สำนักงานประกันสังคมจังหวัด
9,342,69,2565,354,3,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุรินทร์,สำนักงานประกันสังคมจังหวัด
8,169,70,2565,179,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองคาย,สำนักงานประกันสังคมจังหวัด
4,192,71,2565,196,0,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองบัวลำภู,สำนักงานประกันสังคมจังหวัด
10,108,72,2565,120,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อ่างทอง,สำนักงานประกันสังคมจังหวัด
7,158,73,2565,167,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อำนาจเจริญ,สำนักงานประกันสังคมจังหวัด
15,527,74,2565,555,13,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุดรธานี,สำนักงานประกันสังคมจังหวัด
6,347,75,2565,355,2,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุตรดิตถ์,สำนักงานประกันสังคมจังหวัด
9,202,76,2565,211,0,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุทัยธานี,สำนักงานประกันสังคมจังหวัด
20,345,77,2565,372,7,คน,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุบลราชธานี,สำนักงานประกันสังคมจังหวัด
